"Mod name","Registry name","Item ID","Display name","Plant Type","Tags"
"Autumnity","autumnity:foul_berries",15022,"Foul Berries","plains","autumnity:turkey_breeding_items, diet:fruits, supplementaries:flower_box_plantable"
"Autumnity","autumnity:foul_berry_pips",15023,"Foul Berry Pips","plains","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/foul_berry"
"Autumnity","autumnity:maple_sapling",15008,"Maple Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, supplementaries:flower_box_plantable"
"Autumnity","autumnity:orange_maple_sapling",15006,"Orange Maple Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, supplementaries:flower_box_plantable"
"Autumnity","autumnity:red_maple_sapling",15005,"Red Maple Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, supplementaries:flower_box_plantable"
"Autumnity","autumnity:yellow_maple_sapling",15007,"Yellow Maple Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, supplementaries:flower_box_plantable"
"Better Animals Plus","betteranimalsplus:trillium",16322,"Trillium","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:barley",1223,"Barley","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:blue_hydrangea",1210,"Blue Hydrangea","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:tall_flowers, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:burning_blossom",1209,"Burning Blossom","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:bush",1216,"Bush","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:cattail",1222,"Cattail","beach","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:clover",1217,"Clover","plains","sereneseasons:spring_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:dead_grass",1221,"Dead Grass","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:dead_sapling",1140,"Dead Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:desert_grass",1220,"Desert Grass","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:dune_grass",1219,"Dune Grass","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:fir_sapling",1033,"Fir Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:flowering_oak_sapling",1023,"Flowering Oak Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:glowflower",1207,"Glowflower","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:glowshroom",1230,"Glowshroom","plains","farmersdelight:cabbage_roll_ingredients, forge:mushrooms, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:goldenrod",1211,"Goldenrod","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:tall_flowers, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:hellbark_sapling",1185,"Hellbark Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:huge_clover_petal",1218,"Huge Clover Petal","plains","resourcefulbees:valid_apiary"
"Biomes O' Plenty","biomesoplenty:jacaranda_sapling",1095,"Jacaranda Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:lavender",1202,"Lavender","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:magic_sapling",1155,"Magic Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:mahogany_sapling",1080,"Mahogany Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:mangrove_root",1226,"Mangrove Root","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:maple_sapling",1031,"Maple Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:orange_autumn_sapling",1029,"Orange Autumn Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:orange_cosmos",1204,"Orange Cosmos","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:origin_sapling",1021,"Origin Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:palm_sapling",1110,"Palm Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:pink_cherry_sapling",1065,"Pink Cherry Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:pink_daffodil",1205,"Pink Daffodil","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:pink_hibiscus",1206,"Pink Hibiscus","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:rainbow_birch_sapling",1025,"Rainbow Birch Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:redwood_sapling",1048,"Redwood Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:reed",1224,"Reed","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:rose",1200,"Rose","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:sprout",1215,"Sprout","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:toadstool",1229,"Toadstool","plains","farmersdelight:cabbage_roll_ingredients, forge:mushrooms, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:umbran_sapling",1170,"Umbran Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:violet",1201,"Violet","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:watergrass",1225,"Watergrass","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:white_cherry_sapling",1063,"White Cherry Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:wildflower",1203,"Wildflower","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:willow_sapling",1125,"Willow Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:wilted_lily",1208,"Wilted Lily","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:yellow_autumn_sapling",1027,"Yellow Autumn Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Blood Magic","bloodmagic:growing_doubt",16583,"Seeds of Doubt","crop",""
"Blood Magic","bloodmagic:strong_tau",16585,"Saturated Tau","crop",""
"Blood Magic","bloodmagic:weak_tau",16584,"Tau Fruit","crop",""
"Buzzier Bees","buzzier_bees:buttercup",15110,"Buttercup","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Buzzier Bees","buzzier_bees:pink_clover",15112,"Pink Clover","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Buzzier Bees","buzzier_bees:white_clover",15111,"White Clover","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Croptopia","croptopia:almond_sapling",6768,"Almond Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/almond, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:apple_sapling",6746,"Apple Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/apple, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:apricot_sapling",6764,"Apricot Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/apricot, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:artichoke_seed",6691,"Artichoke Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/artichoke, sereneseasons:spring_crops, sereneseasons:summer_crops"
"Croptopia","croptopia:asparagus_seed",6692,"Asparagus Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/asparagus, sereneseasons:spring_crops, sereneseasons:summer_crops"
"Croptopia","croptopia:avocado_sapling",6763,"Avocado Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/avocado, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:banana_sapling",6747,"Banana Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/banana, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:barley_seed",6744,"Barley Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/barley, sereneseasons:spring_crops, sereneseasons:summer_crops"
"Croptopia","croptopia:basil_seed",6742,"Basil Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/basil, sereneseasons:spring_crops, sereneseasons:summer_crops"
"Croptopia","croptopia:bellpepper_seed",6693,"Bell Pepper Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/bellpepper, sereneseasons:spring_crops, sereneseasons:summer_crops"
"Croptopia","croptopia:blackbean_seed",6694,"Black Bean Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/blackbean, sereneseasons:summer_crops"
"Croptopia","croptopia:blackberry_seed",6695,"Blackberry Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/blackberry, sereneseasons:spring_crops, sereneseasons:summer_crops"
"Croptopia","croptopia:blueberry_seed",6696,"Blueberry Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/blueberry, sereneseasons:spring_crops, sereneseasons:summer_crops"
"Croptopia","croptopia:broccoli_seed",6697,"Broccoli Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/broccoli, sereneseasons:autumn_crops"
"Croptopia","croptopia:cabbage_seed",6698,"Cabbage Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/cabbage, sereneseasons:spring_crops"
"Croptopia","croptopia:cantaloupe_seed",6699,"Cantaloupe Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/cantaloupe, sereneseasons:spring_crops, sereneseasons:summer_crops"
"Croptopia","croptopia:cashew_sapling",6769,"Cashew Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/cashew, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:cauliflower_seed",6700,"Cauliflower Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/cauliflower, sereneseasons:autumn_crops"
"Croptopia","croptopia:celery_seed",6701,"Celery Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/celery, sereneseasons:spring_crops"
"Croptopia","croptopia:cherry_sapling",6751,"Cherry Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/cherry, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:chile_pepper_seed",6739,"Chile Pepper Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/chilepepper, sereneseasons:autumn_crops, sereneseasons:spring_crops"
"Croptopia","croptopia:cinnamon_sapling",6911,"Cinnamon Sapling","plains",""
"Croptopia","croptopia:coconut_sapling",6756,"Coconut Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/coconut, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:coffee_seed",6702,"Coffee Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/coffee, sereneseasons:summer_crops"
"Croptopia","croptopia:corn_seed",6703,"Corn Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/corn, sereneseasons:autumn_crops"
"Croptopia","croptopia:cranberry_seed",6704,"Cranberry Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/cranberry, sereneseasons:spring_crops, sereneseasons:summer_crops"
"Croptopia","croptopia:cucumber_seed",6705,"Cucumber Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/cucumber, sereneseasons:autumn_crops"
"Croptopia","croptopia:currant_seed",6706,"Currant Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/currant, sereneseasons:autumn_crops"
"Croptopia","croptopia:date_sapling",6767,"Date Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/date, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:dragonfruit_sapling",6761,"Dragon Fruit Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/dragonfruit, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:eggplant_seed",6707,"Eggplant Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/eggplant, sereneseasons:autumn_crops"
"Croptopia","croptopia:elderberry_seed",6708,"Elderberry Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/elderberry, sereneseasons:spring_crops, sereneseasons:summer_crops"
"Croptopia","croptopia:fig_sapling",6758,"Fig Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/fig, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:garlic_seed",6709,"Garlic Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/garlic, sereneseasons:spring_crops"
"Croptopia","croptopia:ginger_seed",6741,"Ginger Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/ginger, sereneseasons:spring_crops, sereneseasons:summer_crops"
"Croptopia","croptopia:grape_seed",6710,"Grape Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/grape, sereneseasons:autumn_crops"
"Croptopia","croptopia:grapefruit_sapling",6753,"Grapefruit Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/grapefruit, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:greenbean_seed",6711,"Green Bean Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/greenbean, sereneseasons:summer_crops"
"Croptopia","croptopia:greenonion_seed",6712,"Green Onion Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/greenonion, sereneseasons:summer_crops"
"Croptopia","croptopia:honeydew_seed",6713,"Honeydew Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/honeydew, sereneseasons:summer_crops"
"Croptopia","croptopia:hops_seed",6714,"Hops Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/hops, sereneseasons:autumn_crops"
"Croptopia","croptopia:kale_seed",6715,"Kale Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/kale, sereneseasons:autumn_crops"
"Croptopia","croptopia:kiwi_seed",6716,"Kiwi Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/kiwi, sereneseasons:summer_crops"
"Croptopia","croptopia:kumquat_sapling",6754,"Kumquat Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/kumquat, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:leek_seed",6717,"Leek Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/leek, sereneseasons:spring_crops"
"Croptopia","croptopia:lemon_sapling",6752,"Lemon Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/lemon, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:lettuce_seed",6718,"Lettuce Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/lettuce, sereneseasons:spring_crops"
"Croptopia","croptopia:lime_sapling",6766,"Lime Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/lime, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:mango_sapling",6760,"Mango Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/mango, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:mustard_seed",6738,"Mustard Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/mustard, sereneseasons:spring_crops, sereneseasons:summer_crops"
"Croptopia","croptopia:nectarine_sapling",6759,"Nectarine Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/nectarine, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:nutmeg_sapling",6757,"Nutmeg Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/nutmeg, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
"Croptopia","croptopia:oat_seed",6743,"Oats Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/oat, sereneseasons:spring_crops, sereneseasons:summer_crops"
"Croptopia","croptopia:olive_seed",6719,"Olive Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/olive, sereneseasons:autumn_crops"
"Croptopia","croptopia:onion_seed",6720,"Onion Seeds","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/onion, sereneseasons:summer_crops"
"Croptopia","croptopia:orange_sapling",6748,"Orange Sapling","plains","alexsmobs:elephant_foodstuffs, forge:saplings, forge:saplings/orange, minecraft:saplings, sereneseasons:autumn_crops, sereneseasons:summer_crops, supplementaries:flower_box_plantable"
