"Mod name","Registry name","Hardness","Resistance"
"Absent By Design Mod","absentbydesign:slab_terracotta_orange",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_terracotta_pink",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_terracotta_purple",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_terracotta_red",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_terracotta_white",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_terracotta_yellow",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_wool_black",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_blue",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_brown",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_cyan",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_gray",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_green",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_light_blue",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_lime",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_magenta",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_orange",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_pink",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_purple",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_red",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_silver",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_white",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_wool_yellow",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_basalt",1.25,4.20
"Absent By Design Mod","absentbydesign:stairs_bricks_cracked",1.50,6.00
"Absent By Design Mod","absentbydesign:stairs_brown_mushroom",0.20,0.20
"Absent By Design Mod","absentbydesign:stairs_coarse_dirt",0.50,0.50
"Absent By Design Mod","absentbydesign:stairs_concrete_black",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_blue",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_brown",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_cyan",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_gray",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_green",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_light_blue",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_lime",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_magenta",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_orange",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_pink",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_purple",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_red",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_silver",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_white",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_concrete_yellow",1.80,1.80
"Absent By Design Mod","absentbydesign:stairs_crying_obsidian",50.00,1200.00
"Absent By Design Mod","absentbydesign:stairs_end_stone",3.00,9.00
"Absent By Design Mod","absentbydesign:stairs_glass",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_black",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_blue",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_brown",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_cyan",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_gray",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_green",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_light_blue",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_light_gray",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_lime",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_magenta",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_orange",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_pink",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_purple",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_red",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_white",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glass_yellow",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_glowstone",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_lodestone",3.50,3.50
"Absent By Design Mod","absentbydesign:stairs_magma",0.50,0.50
"Absent By Design Mod","absentbydesign:stairs_mushroom_polished",0.20,0.20
"Absent By Design Mod","absentbydesign:stairs_mushroom_stem",0.20,0.20
"Absent By Design Mod","absentbydesign:stairs_netherrack",0.40,0.40
"Absent By Design Mod","absentbydesign:stairs_obsidian",50.00,1200.00
"Absent By Design Mod","absentbydesign:stairs_polished_basalt",1.25,4.20
"Absent By Design Mod","absentbydesign:stairs_quartz_bricks",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_red_mushroom",0.20,0.20
"Absent By Design Mod","absentbydesign:stairs_sea_lantern",0.30,0.30
"Absent By Design Mod","absentbydesign:stairs_smooth_stone",2.00,6.00
"Absent By Design Mod","absentbydesign:stairs_snow",0.20,0.20
"Absent By Design Mod","absentbydesign:stairs_terracotta",1.25,4.20
"Absent By Design Mod","absentbydesign:stairs_terracotta_black",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_blue",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_brown",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_cyan",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_gray",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_green",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_light_blue",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_light_gray",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_lime",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_magenta",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_orange",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_pink",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_purple",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_red",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_white",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_terracotta_yellow",1.40,1.40
"Absent By Design Mod","absentbydesign:stairs_wool_black",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_blue",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_brown",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_cyan",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_gray",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_green",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_light_blue",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_lime",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_magenta",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_orange",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_pink",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_purple",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_red",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_silver",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_white",0.80,0.80
"Absent By Design Mod","absentbydesign:stairs_wool_yellow",0.80,0.80
"Absent By Design Mod","absentbydesign:trapdoor_andesite",1.50,1.50
"Absent By Design Mod","absentbydesign:trapdoor_basalt",1.50,1.50
"Absent By Design Mod","absentbydesign:trapdoor_blackstone",1.50,1.50
"Absent By Design Mod","absentbydesign:trapdoor_blackstone_bricks",1.50,1.50
"Absent By Design Mod","absentbydesign:trapdoor_bricks",1.50,1.50
"Absent By Design Mod","absentbydesign:trapdoor_diorite",1.50,1.50
"Absent By Design Mod","absentbydesign:trapdoor_end_stone",1.50,1.50
"Absent By Design Mod","absentbydesign:trapdoor_granite",1.50,1.50
"Absent By Design Mod","absentbydesign:trapdoor_purpur",1.50,1.50
"Absent By Design Mod","absentbydesign:trapdoor_quartz",0.80,0.80
"Absent By Design Mod","absentbydesign:trapdoor_stone",1.50,1.50
"Absent By Design Mod","absentbydesign:trapdoor_stone_bricks",1.50,1.50
"Absent By Design Mod","absentbydesign:wall_acacia_log",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_acacia_planks",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_andesite_smooth",1.50,1.50
"Absent By Design Mod","absentbydesign:wall_basalt",1.25,1.25
"Absent By Design Mod","absentbydesign:wall_birch_log",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_birch_planks",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_brown_mushroom",0.20,0.20
"Absent By Design Mod","absentbydesign:wall_crimson",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_crimson_planks",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_crying_obsidian",50.00,50.00
"Absent By Design Mod","absentbydesign:wall_dark_oak_log",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_dark_oak_planks",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_dark_prismarine",1.50,1.50
"Absent By Design Mod","absentbydesign:wall_diorite_smooth",1.50,1.50
"Absent By Design Mod","absentbydesign:wall_end_stone",3.00,3.00
"Absent By Design Mod","absentbydesign:wall_glass",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_black",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_blue",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_brown",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_cyan",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_gray",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_green",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_light_blue",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_light_gray",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_lime",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_magenta",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_orange",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_pink",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_purple",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_red",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_white",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glass_yellow",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_glowstone",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_granite_smooth",0.80,0.80
"Absent By Design Mod","absentbydesign:wall_jungle_log",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_jungle_planks",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_lodestone",3.50,3.50
"Absent By Design Mod","absentbydesign:wall_magma",0.50,0.50
"Absent By Design Mod","absentbydesign:wall_mushroom_polished",0.20,0.20
"Absent By Design Mod","absentbydesign:wall_mushroom_stem",0.20,0.20
"Absent By Design Mod","absentbydesign:wall_oak_log",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_oak_planks",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_obsidian",50.00,50.00
"Absent By Design Mod","absentbydesign:wall_polished_basalt",1.25,1.25
"Absent By Design Mod","absentbydesign:wall_prismarine_bricks",1.50,1.50
"Absent By Design Mod","absentbydesign:wall_purpur",1.50,1.50
"Absent By Design Mod","absentbydesign:wall_quartz",0.80,0.80
"Absent By Design Mod","absentbydesign:wall_quartz_bricks",0.80,0.80
"Absent By Design Mod","absentbydesign:wall_red_mushroom",0.20,0.20
"Absent By Design Mod","absentbydesign:wall_sandstone_red_smooth",0.80,0.80
"Absent By Design Mod","absentbydesign:wall_sandstone_smooth",0.80,0.80
"Absent By Design Mod","absentbydesign:wall_sea_lantern",0.30,0.30
"Absent By Design Mod","absentbydesign:wall_spruce_log",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_spruce_planks",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_stone",1.50,1.50
"Absent By Design Mod","absentbydesign:wall_stone_slab",1.50,1.50
"Absent By Design Mod","absentbydesign:wall_stonebrick_carved",1.50,1.50
"Absent By Design Mod","absentbydesign:wall_stonebrick_cracked",1.50,1.50
"Absent By Design Mod","absentbydesign:wall_stripped_acacia_log",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_stripped_birch_log",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_stripped_crimson",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_stripped_dark_oak_log",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_stripped_jungle_log",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_stripped_oak_log",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_stripped_spruce_log",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_stripped_warped",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_warped",2.00,2.00
"Absent By Design Mod","absentbydesign:wall_warped_planks",2.00,2.00
"Abundance","abundance:amaranthus",0.00,0.00
"Abundance","abundance:budding_jacaranda_hedge",2.00,3.00
"Abundance","abundance:budding_jacaranda_leaf_carpet",0.20,0.20
"Abundance","abundance:budding_jacaranda_leaves",0.20,0.20
"Abundance","abundance:budding_redbud_hedge",2.00,3.00
"Abundance","abundance:budding_redbud_leaf_carpet",0.20,0.20
"Abundance","abundance:budding_redbud_leaves",0.20,0.20
"Abundance","abundance:chicory",0.00,0.00
"Abundance","abundance:flowering_jacaranda_hedge",2.00,3.00
"Abundance","abundance:flowering_jacaranda_leaf_carpet",0.20,0.20
"Abundance","abundance:flowering_jacaranda_leaves",0.20,0.20
"Abundance","abundance:flowering_redbud_hedge",2.00,3.00
"Abundance","abundance:flowering_redbud_leaf_carpet",0.20,0.20
"Abundance","abundance:flowering_redbud_leaves",0.20,0.20
"Abundance","abundance:flowering_redbud_log",2.00,2.00
"Abundance","abundance:flowering_redbud_sapling",0.00,0.00
"Abundance","abundance:flowering_redbud_wood",2.00,2.00
"Abundance","abundance:jacaranda_beehive",0.60,0.60
"Abundance","abundance:jacaranda_bookshelf",1.50,1.50
"Abundance","abundance:jacaranda_button",0.50,0.50
"Abundance","abundance:jacaranda_chest",2.50,2.50
"Abundance","abundance:jacaranda_door",3.00,3.00
"Abundance","abundance:jacaranda_fence",2.00,3.00
"Abundance","abundance:jacaranda_fence_gate",2.00,3.00
"Abundance","abundance:jacaranda_hedge",2.00,3.00
"Abundance","abundance:jacaranda_ladder",0.40,0.40
"Abundance","abundance:jacaranda_leaf_carpet",0.20,0.20
"Abundance","abundance:jacaranda_leaves",0.20,0.20
"Abundance","abundance:jacaranda_log",2.00,2.00
"Abundance","abundance:jacaranda_planks",2.00,3.00
"Abundance","abundance:jacaranda_post",2.00,3.00
"Abundance","abundance:jacaranda_pressure_plate",0.50,0.50
"Abundance","abundance:jacaranda_sapling",0.00,0.00
"Abundance","abundance:jacaranda_sign",1.00,1.00
"Abundance","abundance:jacaranda_slab",2.00,3.00
"Abundance","abundance:jacaranda_stairs",2.00,3.00
"Abundance","abundance:jacaranda_trapdoor",3.00,3.00
"Abundance","abundance:jacaranda_trapped_chest",2.50,2.50
"Abundance","abundance:jacaranda_vertical_slab",2.00,3.00
"Abundance","abundance:jacaranda_wall_sign",1.00,1.00
"Abundance","abundance:jacaranda_wood",2.00,2.00
"Abundance","abundance:lavender",0.00,0.00
"Abundance","abundance:lavender_basket",0.50,0.50
"Abundance","abundance:lavender_blossom_carpet",0.00,0.00
"Abundance","abundance:nemophila",0.00,0.00
"Abundance","abundance:potted_amaranthus",0.00,0.00
"Abundance","abundance:potted_chicory",0.00,0.00
"Abundance","abundance:potted_flowering_redbud_sapling",0.00,0.00
"Abundance","abundance:potted_jacaranda_sapling",0.00,0.00
"Abundance","abundance:potted_nemophila",0.00,0.00
"Abundance","abundance:potted_purple_african_daisy",0.00,0.00
"Abundance","abundance:potted_redbud_sapling",0.00,0.00
"Abundance","abundance:potted_saguaro_sprout",0.00,0.00
"Abundance","abundance:potted_shady_marigold",0.00,0.00
"Abundance","abundance:potted_sunny_marigold",0.00,0.00
"Abundance","abundance:potted_yellow_african_daisy",0.00,0.00
"Abundance","abundance:purple_african_daisy",0.00,0.00
"Abundance","abundance:redbud_beehive",0.60,0.60
"Abundance","abundance:redbud_bookshelf",1.50,1.50
"Abundance","abundance:redbud_button",0.50,0.50
"Abundance","abundance:redbud_chest",2.50,2.50
"Abundance","abundance:redbud_door",3.00,3.00
"Abundance","abundance:redbud_fence",2.00,3.00
"Abundance","abundance:redbud_fence_gate",2.00,3.00
"Abundance","abundance:redbud_hedge",2.00,3.00
"Abundance","abundance:redbud_ladder",0.40,0.40
"Abundance","abundance:redbud_leaf_carpet",0.20,0.20
"Abundance","abundance:redbud_leaves",0.20,0.20
"Abundance","abundance:redbud_log",2.00,2.00
"Abundance","abundance:redbud_planks",2.00,3.00
"Abundance","abundance:redbud_post",2.00,3.00
"Abundance","abundance:redbud_pressure_plate",0.50,0.50
"Abundance","abundance:redbud_sapling",0.00,0.00
"Abundance","abundance:redbud_sign",1.00,1.00
"Abundance","abundance:redbud_slab",2.00,3.00
"Abundance","abundance:redbud_stairs",2.00,3.00
"Abundance","abundance:redbud_trapdoor",3.00,3.00
"Abundance","abundance:redbud_trapped_chest",2.50,2.50
"Abundance","abundance:redbud_vertical_slab",2.00,3.00
"Abundance","abundance:redbud_wall_sign",1.00,1.00
"Abundance","abundance:redbud_wood",2.00,2.00
"Abundance","abundance:saguaro_cactus",0.40,0.40
"Abundance","abundance:saguaro_flower",0.00,0.00
"Abundance","abundance:saguaro_sprout",0.00,0.00
"Abundance","abundance:shady_marigold",0.00,0.00
"Abundance","abundance:small_saguaro_cactus",0.40,0.40
"Abundance","abundance:stripped_jacaranda_log",2.00,2.00
"Abundance","abundance:stripped_jacaranda_post",2.00,3.00
"Abundance","abundance:stripped_jacaranda_wood",2.00,2.00
"Abundance","abundance:stripped_redbud_log",2.00,2.00
"Abundance","abundance:stripped_redbud_post",2.00,3.00
"Abundance","abundance:stripped_redbud_wood",2.00,2.00
"Abundance","abundance:sunflower_seed_sack",0.50,0.50
"Abundance","abundance:sunny_marigold",0.00,0.00
"Abundance","abundance:tall_lavender",0.00,0.00
"Abundance","abundance:tall_marigold",0.00,0.00
"Abundance","abundance:vertical_jacaranda_planks",2.00,3.00
"Abundance","abundance:vertical_redbud_planks",2.00,3.00
"Abundance","abundance:yellow_african_daisy",0.00,0.00
"Additional Lights","additional_lights:al_lamp_acacia_planks",0.00,0.00
"Additional Lights","additional_lights:al_lamp_birch_planks",0.00,0.00
"Additional Lights","additional_lights:al_lamp_blackstone",0.00,0.00
"Additional Lights","additional_lights:al_lamp_cobblestone",0.00,0.00
"Additional Lights","additional_lights:al_lamp_crimson_planks",0.00,0.00
"Additional Lights","additional_lights:al_lamp_dark_oak_planks",0.00,0.00
"Additional Lights","additional_lights:al_lamp_diamond_block",0.00,0.00
"Additional Lights","additional_lights:al_lamp_end_stone",0.00,0.00
"Additional Lights","additional_lights:al_lamp_glass",0.00,0.00
"Additional Lights","additional_lights:al_lamp_gold_block",0.00,0.00
"Additional Lights","additional_lights:al_lamp_iron_block",0.00,0.00
"Additional Lights","additional_lights:al_lamp_jungle_planks",0.00,0.00
"Additional Lights","additional_lights:al_lamp_magenta_wool",0.00,0.00
"Additional Lights","additional_lights:al_lamp_mossy_cobblestone",0.00,0.00
"Additional Lights","additional_lights:al_lamp_nether_bricks",0.00,0.00
"Additional Lights","additional_lights:al_lamp_oak_planks",0.00,0.00
"Additional Lights","additional_lights:al_lamp_packed_ice",0.00,0.00
"Additional Lights","additional_lights:al_lamp_pink_wool",0.00,0.00
"Additional Lights","additional_lights:al_lamp_red_nether_bricks",0.00,0.00
"Additional Lights","additional_lights:al_lamp_sandstone",0.00,0.00
"Additional Lights","additional_lights:al_lamp_spruce_planks",0.00,0.00
"Additional Lights","additional_lights:al_lamp_stone",0.00,0.00
"Additional Lights","additional_lights:al_lamp_warped_planks",0.00,0.00
"Additional Lights","additional_lights:al_torch_acacia_planks",0.00,0.00
"Additional Lights","additional_lights:al_torch_birch_planks",0.00,0.00
"Additional Lights","additional_lights:al_torch_blackstone",0.00,0.00
"Additional Lights","additional_lights:al_torch_cobblestone",0.00,0.00
