"ID","Tagged objects"
"alexsmobs:orca_targets","alexsmobs:moose, alexsmobs:seal, minecraft:polar_bear, minecraft:turtle, minecraft:drowned, minecraft:guardian, minecraft:elder_guardian"
"alexsmobs:passive_land_animals","minecraft:cat, minecraft:chicken, minecraft:cow, minecraft:donkey, minecraft:fox, minecraft:horse, minecraft:llama, minecraft:mule, minecraft:mooshroom, minecraft:ocelot, minecraft:panda, minecraft:parrot, minecraft:pig, minecraft:rabbit, minecraft:sheep, minecraft:strider, minecraft:trader_llama, minecraft:wolf, alexsmobs:capuchin_monkey, alexsmobs:crow, alexsmobs:emu, alexsmobs:gazelle, alexsmobs:mungus, alexsmobs:platypus, alexsmobs:roadrunner, alexsmobs:seal, alexsmobs:shoebill, alexsmobs:tasmanian_devil"
"alexsmobs:scatters_crows","minecraft:polar_bear, alexsmobs:bald_eagle, alexsmobs:elephant, alexsmobs:endergrade, alexsmobs:grizzly_bear, alexsmobs:gorilla, alexsmobs:kangaroo, alexsmobs:moose, alexsmobs:raccoon, alexsmobs:rattlesnake, alexsmobs:snow_leopard, alexsmobs:tiger"
"alexsmobs:snow_leopard_targets","minecraft:cow, minecraft:chicken, minecraft:donkey, minecraft:horse, minecraft:llama, minecraft:mule, minecraft:parrot, minecraft:pig, minecraft:rabbit, minecraft:sheep, minecraft:trader_llama, alexsmobs:capuchin_monkey, alexsmobs:crow"
"alexsmobs:sunbird_scorch_targets","minecraft:skeleton, minecraft:stray, minecraft:wither_skeleton, savageandravage:skeleton_villager, minecraft:zombie, minecraft:husk, minecraft:drowned, minecraft:phantom"
"alexsmobs:tiger_targets","minecraft:cat, minecraft:chicken, minecraft:cow, minecraft:donkey, minecraft:fox, minecraft:horse, minecraft:llama, minecraft:mule, minecraft:mooshroom, minecraft:ocelot, minecraft:panda, minecraft:parrot, minecraft:pig, minecraft:rabbit, minecraft:sheep, minecraft:strider, minecraft:trader_llama, minecraft:wolf, alexsmobs:capuchin_monkey, alexsmobs:crow, alexsmobs:emu, alexsmobs:gazelle, alexsmobs:mungus, alexsmobs:platypus, alexsmobs:roadrunner, alexsmobs:seal, alexsmobs:shoebill, alexsmobs:tasmanian_devil, minecraft:villager, minecraft:wandering_trader, alexsmobs:kangaroo, alexsmobs:moose"
"alexsmobs:villagers","minecraft:villager, minecraft:wandering_trader"
"alexsmobs:void_portal_ignores","alexsmobs:void_portal, minecraft:end_crystal, minecraft:ender_dragon"
"alexsmobs:warped_toad_targets","minecraft:silverfish, minecraft:spider, minecraft:cave_spider, alexsmobs:crimson_mosquito, alexsmobs:fly, alexsmobs:cockroach, alexsmobs:warped_mosco, alexsmobs:leafcutter_ant, alexsmobs:tarantula_hawk"
"ars_nouveau:disintegration_blacklist",""
"ars_nouveau:disintegration_whitelist",""
"ars_nouveau:drygmy_blacklist","minecraft:iron_golem"
"brazier:brazier_blacklist","minecraft:slime, minecraft:magma_cube, minecraft:hoglin"
"brazier:brazier_whitelist","minecraft:wither, minecraft:elder_guardian, minecraft:ender_dragon"
"buzzier_bees:moobloom_hostiles","minecraft:zombie, minecraft:zombie_villager, minecraft:stray, minecraft:drowned"
"endergetic:boof_block_resistant","endergetic:boof_block, endergetic:poise_cluster, endergetic:bolloom_fruit, endergetic:bolloom_balloon, minecraft:shulker, minecraft:painting, minecraft:vex, minecraft:item_frame"
"endergetic:not_balloon_attachable","upgrade_aquatic:flare, endergetic:boof_block, endergetic:poise_cluster, endergetic:puff_bug, endergetic:booflo, endergetic:booflo_adolescent, endergetic:booflo_baby, minecraft:shulker, minecraft:horse, minecraft:armor_stand, minecraft:phantom, minecraft:ghast, minecraft:wither, minecraft:ender_dragon"
"environmental:unaffected_by_serenity",""
"extraboats:sitting_mobs","savageandravage:griefer, savageandravage:executioner, savageandravage:iceologer, savageandravage:skeleton_villager"
"farmersdelight:dog_food_users","minecraft:wolf"
"farmersdelight:horse_feed_users","minecraft:horse, minecraft:skeleton_horse, minecraft:zombie_horse, minecraft:donkey, minecraft:mule, minecraft:llama"
"forge:golden_moth","ob_aquamirae:golden_moth"
"forge:villager","minecraft:villager, minecraft:wandering_trader"
"forge:villagers","minecraft:villager, minecraft:vindicator, minecraft:illusioner, minecraft:pillager, minecraft:witch, minecraft:wandering_trader"
"industrialforegoing:mob_imprisonment_tool_blacklist",""
"minecraft:arrows","minecraft:arrow, minecraft:spectral_arrow, supplementaries:rope_arrow, supplementaries:amethyst_arrow, wyrmroost:geode_tipped_arrow, savageandravage:mischief_arrow"
"minecraft:beehive_inhabitors","minecraft:bee, resourcefulbees:kitten_bee, resourcefulbees:yeti_bee, resourcefulbees:pigman_bee, resourcefulbees:diamond_bee, resourcefulbees:zombie_bee, resourcefulbees:lapis_bee, resourcefulbees:slimy_bee, resourcefulbees:creeper_bee, resourcefulbees:icy_bee, resourcefulbees:dungeon_bee, resourcefulbees:dragon_bee, resourcefulbees:redstone_bee, resourcefulbees:skeleton_bee, resourcefulbees:oreo_bee, resourcefulbees:rgbee_bee, resourcefulbees:iron_bee, resourcefulbees:emerald_bee, resourcefulbees:nether_quartz_bee, resourcefulbees:netherite_bee, resourcefulbees:ender_bee, resourcefulbees:coal_bee, resourcefulbees:wither_bee, resourcefulbees:gold_bee"
"minecraft:impact_projectiles","minecraft:arrow, minecraft:spectral_arrow, supplementaries:rope_arrow, supplementaries:amethyst_arrow, wyrmroost:geode_tipped_arrow, savageandravage:mischief_arrow, minecraft:snowball, minecraft:fireball, minecraft:small_fireball, minecraft:egg, minecraft:trident, minecraft:dragon_fireball, minecraft:wither_skull, supplementaries:brick_projectile, mekanism:flame, environmental:mud_ball, environmental:duck_egg"
"minecraft:raiders","minecraft:evoker, minecraft:pillager, minecraft:ravager, minecraft:vindicator, minecraft:illusioner, minecraft:witch, savageandravage:griefer, savageandravage:executioner, savageandravage:iceologer"
"minecraft:skeletons","minecraft:skeleton, minecraft:stray, minecraft:wither_skeleton, savageandravage:skeleton_villager"
"neapolitan:milkable","environmental:yak"
"seeker_compass:summonables","endergetic:booflo"
"supplementaries:cage_baby_catchable","minecraft:cow, minecraft:sheep, minecraft:pig, alexsmobs:crocodile, alexsmobs:endergrade, alexsmobs:gazelle, alexsmobs:gorilla, alexsmobs:komodo_dragon, alexsmobs:raccoon, alexsmobs:seal, alexsmobs:warped_toad"
"supplementaries:cage_catchable","minecraft:slime, minecraft:bee, minecraft:magma_cube, minecraft:endermite, minecraft:vex, minecraft:parrot, minecraft:rabbit, minecraft:cat, minecraft:chicken, minecraft:bat, minecraft:fox, minecraft:ocelot, wyrmroost:lesser_desertwyrm, wyrmroost:roost_stalker, wyrmroost:coin_dragon, infernalexp:voline, infernalexp:shroomloin, alexsmobs:raccoon, alexsmobs:mungus, alexsmobs:tasmanian_devil, alexsmobs:enderiophage, alexsmobs:platypus, alexsmobs:crow, alexsmobs:mimicube, alexsmobs:fly, alexsmobs:hummingbird, alexsmobs:cockroach, endergetic:puff_bug, betterendforge:end_slime, betterendforge:dragonfly, betterendforge:silk_moth, savageandravage:creepie, betteranimalsplus:butterfly, whisperwoods:moth, alexsmobs:roadrunner, alexsmobs:rattlesnake, alexsmobs:lobster, alexsmobs:capuchin_monkey, autumnity:snail, betteranimalsplus:lammergeier, betteranimalsplus:songbird, betteranimalsplus:pheasant, betteranimalsplus:squirrel, betteranimalsplus:badger, betteranimalsplus:turkey, betteranimalsplus:horseshoecrab, betteranimalsplus:crab, whisperwoods:wisp, environmental:duck, environmental:fennec_fox, environmental:slabfish"
"supplementaries:flute_pet","minecraft:horse, minecraft:llama, minecraft:mule, minecraft:donkey, minecraft:fox"
"supplementaries:jar_catchable","minecraft:slime, minecraft:bee, minecraft:magma_cube, wyrmroost:coin_dragon, alexsmobs:enderiophage, alexsmobs:fly, alexsmobs:hummingbird, alexsmobs:cockroach, betterendforge:end_slime, betterendforge:dragonfly, betterendforge:silk_moth, savageandravage:creepie, betteranimalsplus:butterfly, whisperwoods:moth"
"supplementaries:jar_tinted_catchable","minecraft:slime, minecraft:bee, minecraft:magma_cube, minecraft:endermite, minecraft:vex, wyrmroost:coin_dragon, alexsmobs:enderiophage, alexsmobs:mimicube, alexsmobs:fly, alexsmobs:hummingbird, alexsmobs:cockroach, endergetic:puff_bug, betterendforge:end_slime, betterendforge:dragonfly, betterendforge:silk_moth, savageandravage:creepie, betteranimalsplus:butterfly, whisperwoods:moth"
"vampirism:advanced_hunter","vampirism:advanced_hunter, vampirism:advanced_hunter_imob"
"vampirism:advanced_vampire","vampirism:advanced_vampire, vampirism:advanced_vampire_imob"
"vampirism:hunter","vampirism:hunter, vampirism:hunter_imob, vampirism:advanced_hunter, vampirism:advanced_hunter_imob, vampirism:hunter_trainer, vampirism:hunter_trainer_dummy, vampirism:task_master_hunter"
"vampirism:vampire","vampirism:vampire, vampirism:vampire_imob, vampirism:advanced_vampire, vampirism:advanced_vampire_imob, vampirism:vampire_baron, vampirism:task_master_vampire"
