"Registry name","Map color (hex)","Map color (int)"
"absentbydesign:slab_glass","#000000","0"
"absentbydesign:slab_glass_black","#191919","1644825"
"absentbydesign:slab_glass_blue","#334CB2","3361970"
"absentbydesign:slab_glass_brown","#664C33","6704179"
"absentbydesign:slab_glass_cyan","#4C7F99","5013401"
"absentbydesign:slab_glass_gray","#4C4C4C","5000268"
"absentbydesign:slab_glass_green","#667F33","6717235"
"absentbydesign:slab_glass_light_blue","#6699D8","6724056"
"absentbydesign:slab_glass_light_gray","#999999","10066329"
"absentbydesign:slab_glass_lime","#7FCC19","8375321"
"absentbydesign:slab_glass_magenta","#B24CD8","11685080"
"absentbydesign:slab_glass_orange","#D87F33","14188339"
"absentbydesign:slab_glass_pink","#F27FA5","15892389"
"absentbydesign:slab_glass_purple","#7F3FB2","8339378"
"absentbydesign:slab_glass_red","#993333","10040115"
"absentbydesign:slab_glass_white","#FFFFFF","16777215"
"absentbydesign:slab_glass_yellow","#E5E533","15066419"
"absentbydesign:slab_glowstone","#F7E9A3","16247203"
"absentbydesign:slab_lodestone","#A7A7A7","10987431"
"absentbydesign:slab_magma","#700200","7340544"
"absentbydesign:slab_mushroom_polished","#C7C7C7","13092807"
"absentbydesign:slab_mushroom_stem","#C7C7C7","13092807"
"absentbydesign:slab_netherrack","#700200","7340544"
"absentbydesign:slab_obsidian","#191919","1644825"
"absentbydesign:slab_polished_basalt","#191919","1644825"
"absentbydesign:slab_quartz_bricks","#FFFCF5","16776437"
"absentbydesign:slab_red_mushroom","#993333","10040115"
"absentbydesign:slab_sea_lantern","#FFFCF5","16776437"
"absentbydesign:slab_snow","#FFFFFF","16777215"
"absentbydesign:slab_terracotta","#D87F33","14188339"
"absentbydesign:slab_terracotta_black","#191919","1644825"
"absentbydesign:slab_terracotta_blue","#334CB2","3361970"
"absentbydesign:slab_terracotta_brown","#664C33","6704179"
"absentbydesign:slab_terracotta_cyan","#4C7F99","5013401"
"absentbydesign:slab_terracotta_gray","#4C4C4C","5000268"
"absentbydesign:slab_terracotta_green","#667F33","6717235"
"absentbydesign:slab_terracotta_light_blue","#6699D8","6724056"
"absentbydesign:slab_terracotta_light_gray","#999999","10066329"
"absentbydesign:slab_terracotta_lime","#7FCC19","8375321"
"absentbydesign:slab_terracotta_magenta","#B24CD8","11685080"
"absentbydesign:slab_terracotta_orange","#D87F33","14188339"
"absentbydesign:slab_terracotta_pink","#F27FA5","15892389"
"absentbydesign:slab_terracotta_purple","#7F3FB2","8339378"
"absentbydesign:slab_terracotta_red","#993333","10040115"
"absentbydesign:slab_terracotta_white","#FFFFFF","16777215"
"absentbydesign:slab_terracotta_yellow","#E5E533","15066419"
"absentbydesign:slab_wool_black","#191919","1644825"
"absentbydesign:slab_wool_blue","#334CB2","3361970"
"absentbydesign:slab_wool_brown","#664C33","6704179"
"absentbydesign:slab_wool_cyan","#4C7F99","5013401"
"absentbydesign:slab_wool_gray","#4C4C4C","5000268"
"absentbydesign:slab_wool_green","#667F33","6717235"
"absentbydesign:slab_wool_light_blue","#6699D8","6724056"
"absentbydesign:slab_wool_lime","#7FCC19","8375321"
"absentbydesign:slab_wool_magenta","#B24CD8","11685080"
"absentbydesign:slab_wool_orange","#D87F33","14188339"
"absentbydesign:slab_wool_pink","#F27FA5","15892389"
"absentbydesign:slab_wool_purple","#7F3FB2","8339378"
"absentbydesign:slab_wool_red","#993333","10040115"
"absentbydesign:slab_wool_silver","#999999","10066329"
"absentbydesign:slab_wool_white","#FFFFFF","16777215"
"absentbydesign:slab_wool_yellow","#E5E533","15066419"
"absentbydesign:stairs_basalt","#191919","1644825"
"absentbydesign:stairs_bricks_cracked","#707070","7368816"
"absentbydesign:stairs_brown_mushroom","#976D4D","9923917"
"absentbydesign:stairs_coarse_dirt","#976D4D","9923917"
"absentbydesign:stairs_concrete_black","#191919","1644825"
"absentbydesign:stairs_concrete_blue","#334CB2","3361970"
"absentbydesign:stairs_concrete_brown","#664C33","6704179"
"absentbydesign:stairs_concrete_cyan","#4C7F99","5013401"
"absentbydesign:stairs_concrete_gray","#4C4C4C","5000268"
"absentbydesign:stairs_concrete_green","#667F33","6717235"
"absentbydesign:stairs_concrete_light_blue","#6699D8","6724056"
"absentbydesign:stairs_concrete_lime","#7FCC19","8375321"
"absentbydesign:stairs_concrete_magenta","#B24CD8","11685080"
"absentbydesign:stairs_concrete_orange","#D87F33","14188339"
"absentbydesign:stairs_concrete_pink","#F27FA5","15892389"
"absentbydesign:stairs_concrete_purple","#7F3FB2","8339378"
"absentbydesign:stairs_concrete_red","#993333","10040115"
"absentbydesign:stairs_concrete_silver","#999999","10066329"
"absentbydesign:stairs_concrete_white","#FFFFFF","16777215"
"absentbydesign:stairs_concrete_yellow","#E5E533","15066419"
"absentbydesign:stairs_crying_obsidian","#191919","1644825"
"absentbydesign:stairs_end_stone","#F7E9A3","16247203"
"absentbydesign:stairs_glass","#000000","0"
"absentbydesign:stairs_glass_black","#191919","1644825"
"absentbydesign:stairs_glass_blue","#334CB2","3361970"
"absentbydesign:stairs_glass_brown","#664C33","6704179"
"absentbydesign:stairs_glass_cyan","#4C7F99","5013401"
"absentbydesign:stairs_glass_gray","#4C4C4C","5000268"
"absentbydesign:stairs_glass_green","#667F33","6717235"
"absentbydesign:stairs_glass_light_blue","#6699D8","6724056"
"absentbydesign:stairs_glass_light_gray","#999999","10066329"
"absentbydesign:stairs_glass_lime","#7FCC19","8375321"
"absentbydesign:stairs_glass_magenta","#B24CD8","11685080"
"absentbydesign:stairs_glass_orange","#D87F33","14188339"
"absentbydesign:stairs_glass_pink","#F27FA5","15892389"
"absentbydesign:stairs_glass_purple","#7F3FB2","8339378"
"absentbydesign:stairs_glass_red","#993333","10040115"
"absentbydesign:stairs_glass_white","#FFFFFF","16777215"
"absentbydesign:stairs_glass_yellow","#E5E533","15066419"
"absentbydesign:stairs_glowstone","#F7E9A3","16247203"
"absentbydesign:stairs_lodestone","#A7A7A7","10987431"
"absentbydesign:stairs_magma","#700200","7340544"
"absentbydesign:stairs_mushroom_polished","#C7C7C7","13092807"
"absentbydesign:stairs_mushroom_stem","#C7C7C7","13092807"
"absentbydesign:stairs_netherrack","#700200","7340544"
"absentbydesign:stairs_obsidian","#191919","1644825"
"absentbydesign:stairs_polished_basalt","#191919","1644825"
"absentbydesign:stairs_quartz_bricks","#FFFCF5","16776437"
"absentbydesign:stairs_red_mushroom","#993333","10040115"
"absentbydesign:stairs_sea_lantern","#FFFCF5","16776437"
"absentbydesign:stairs_smooth_stone","#707070","7368816"
"absentbydesign:stairs_snow","#FFFFFF","16777215"
"absentbydesign:stairs_terracotta","#D87F33","14188339"
"absentbydesign:stairs_terracotta_black","#191919","1644825"
"absentbydesign:stairs_terracotta_blue","#334CB2","3361970"
"absentbydesign:stairs_terracotta_brown","#664C33","6704179"
"absentbydesign:stairs_terracotta_cyan","#4C7F99","5013401"
"absentbydesign:stairs_terracotta_gray","#4C4C4C","5000268"
"absentbydesign:stairs_terracotta_green","#667F33","6717235"
"absentbydesign:stairs_terracotta_light_blue","#6699D8","6724056"
"absentbydesign:stairs_terracotta_light_gray","#999999","10066329"
"absentbydesign:stairs_terracotta_lime","#7FCC19","8375321"
"absentbydesign:stairs_terracotta_magenta","#B24CD8","11685080"
"absentbydesign:stairs_terracotta_orange","#D87F33","14188339"
"absentbydesign:stairs_terracotta_pink","#F27FA5","15892389"
"absentbydesign:stairs_terracotta_purple","#7F3FB2","8339378"
"absentbydesign:stairs_terracotta_red","#993333","10040115"
"absentbydesign:stairs_terracotta_white","#FFFFFF","16777215"
"absentbydesign:stairs_terracotta_yellow","#E5E533","15066419"
"absentbydesign:stairs_wool_black","#191919","1644825"
"absentbydesign:stairs_wool_blue","#334CB2","3361970"
"absentbydesign:stairs_wool_brown","#664C33","6704179"
"absentbydesign:stairs_wool_cyan","#4C7F99","5013401"
"absentbydesign:stairs_wool_gray","#4C4C4C","5000268"
"absentbydesign:stairs_wool_green","#667F33","6717235"
"absentbydesign:stairs_wool_light_blue","#6699D8","6724056"
"absentbydesign:stairs_wool_lime","#7FCC19","8375321"
"absentbydesign:stairs_wool_magenta","#B24CD8","11685080"
"absentbydesign:stairs_wool_orange","#D87F33","14188339"
"absentbydesign:stairs_wool_pink","#F27FA5","15892389"
"absentbydesign:stairs_wool_purple","#7F3FB2","8339378"
"absentbydesign:stairs_wool_red","#993333","10040115"
"absentbydesign:stairs_wool_silver","#999999","10066329"
"absentbydesign:stairs_wool_white","#FFFFFF","16777215"
"absentbydesign:stairs_wool_yellow","#E5E533","15066419"
"absentbydesign:trapdoor_andesite","#707070","7368816"
"absentbydesign:trapdoor_basalt","#707070","7368816"
"absentbydesign:trapdoor_blackstone","#707070","7368816"
"absentbydesign:trapdoor_blackstone_bricks","#707070","7368816"
"absentbydesign:trapdoor_bricks","#707070","7368816"
"absentbydesign:trapdoor_diorite","#FFFCF5","16776437"
"absentbydesign:trapdoor_end_stone","#707070","7368816"
"absentbydesign:trapdoor_granite","#976D4D","9923917"
"absentbydesign:trapdoor_purpur","#B24CD8","11685080"
"absentbydesign:trapdoor_quartz","#FFFCF5","16776437"
"absentbydesign:trapdoor_stone","#707070","7368816"
"absentbydesign:trapdoor_stone_bricks","#707070","7368816"
"absentbydesign:wall_acacia_log","#D87F33","14188339"
"absentbydesign:wall_acacia_planks","#D87F33","14188339"
"absentbydesign:wall_andesite_smooth","#707070","7368816"
"absentbydesign:wall_basalt","#191919","1644825"
"absentbydesign:wall_birch_log","#F7E9A3","16247203"
"absentbydesign:wall_birch_planks","#F7E9A3","16247203"
"absentbydesign:wall_brown_mushroom","#976D4D","9923917"
"absentbydesign:wall_crimson","#943F61","9715553"
"absentbydesign:wall_crimson_planks","#943F61","9715553"
"absentbydesign:wall_crying_obsidian","#191919","1644825"
"absentbydesign:wall_dark_oak_log","#664C33","6704179"
"absentbydesign:wall_dark_oak_planks","#664C33","6704179"
"absentbydesign:wall_dark_prismarine","#5CDBD5","6085589"
"absentbydesign:wall_diorite_smooth","#FFFCF5","16776437"
"absentbydesign:wall_end_stone","#F7E9A3","16247203"
"absentbydesign:wall_glass","#000000","0"
"absentbydesign:wall_glass_black","#191919","1644825"
"absentbydesign:wall_glass_blue","#334CB2","3361970"
"absentbydesign:wall_glass_brown","#664C33","6704179"
"absentbydesign:wall_glass_cyan","#4C7F99","5013401"
"absentbydesign:wall_glass_gray","#4C4C4C","5000268"
"absentbydesign:wall_glass_green","#667F33","6717235"
"absentbydesign:wall_glass_light_blue","#6699D8","6724056"
"absentbydesign:wall_glass_light_gray","#999999","10066329"
"absentbydesign:wall_glass_lime","#7FCC19","8375321"
"absentbydesign:wall_glass_magenta","#B24CD8","11685080"
"absentbydesign:wall_glass_orange","#D87F33","14188339"
"absentbydesign:wall_glass_pink","#F27FA5","15892389"
"absentbydesign:wall_glass_purple","#7F3FB2","8339378"
"absentbydesign:wall_glass_red","#993333","10040115"
"absentbydesign:wall_glass_white","#FFFFFF","16777215"
"absentbydesign:wall_glass_yellow","#E5E533","15066419"
"absentbydesign:wall_glowstone","#F7E9A3","16247203"
"absentbydesign:wall_granite_smooth","#FFFCF5","16776437"
"absentbydesign:wall_jungle_log","#976D4D","9923917"
"absentbydesign:wall_jungle_planks","#976D4D","9923917"
"absentbydesign:wall_lodestone","#A7A7A7","10987431"
"absentbydesign:wall_magma","#700200","7340544"
"absentbydesign:wall_mushroom_polished","#C7C7C7","13092807"
"absentbydesign:wall_mushroom_stem","#C7C7C7","13092807"
"absentbydesign:wall_oak_log","#8F7748","9402184"
"absentbydesign:wall_oak_planks","#8F7748","9402184"
"absentbydesign:wall_obsidian","#191919","1644825"
"absentbydesign:wall_polished_basalt","#191919","1644825"
"absentbydesign:wall_prismarine_bricks","#4C7F99","5013401"
"absentbydesign:wall_purpur","#B24CD8","11685080"
"absentbydesign:wall_quartz","#FFFCF5","16776437"
"absentbydesign:wall_quartz_bricks","#FFFCF5","16776437"
"absentbydesign:wall_red_mushroom","#993333","10040115"
"absentbydesign:wall_sandstone_red_smooth","#D87F33","14188339"
"absentbydesign:wall_sandstone_smooth","#F7E9A3","16247203"
"absentbydesign:wall_sea_lantern","#FFFCF5","16776437"
"absentbydesign:wall_spruce_log","#815631","8476209"
"absentbydesign:wall_spruce_planks","#815631","8476209"
"absentbydesign:wall_stone","#707070","7368816"
"absentbydesign:wall_stone_slab","#707070","7368816"
"absentbydesign:wall_stonebrick_carved","#707070","7368816"
"absentbydesign:wall_stonebrick_cracked","#707070","7368816"
"absentbydesign:wall_stripped_acacia_log","#8F7748","9402184"
"absentbydesign:wall_stripped_birch_log","#8F7748","9402184"
"absentbydesign:wall_stripped_crimson","#5C191D","6035741"
"absentbydesign:wall_stripped_dark_oak_log","#8F7748","9402184"
"absentbydesign:wall_stripped_jungle_log","#8F7748","9402184"
"absentbydesign:wall_stripped_oak_log","#8F7748","9402184"
"absentbydesign:wall_stripped_spruce_log","#8F7748","9402184"
"absentbydesign:wall_stripped_warped","#562C3E","5647422"
"absentbydesign:wall_warped","#3A8E8C","3837580"
"absentbydesign:wall_warped_planks","#3A8E8C","3837580"
"abundance:amaranthus","#007C00","31744"
"abundance:budding_jacaranda_hedge","#8F7748","9402184"
"abundance:budding_jacaranda_leaf_carpet","#007C00","31744"
"abundance:budding_jacaranda_leaves","#007C00","31744"
"abundance:budding_redbud_hedge","#8F7748","9402184"
"abundance:budding_redbud_leaf_carpet","#007C00","31744"
"abundance:budding_redbud_leaves","#007C00","31744"
"abundance:chicory","#007C00","31744"
"abundance:flowering_jacaranda_hedge","#8F7748","9402184"
"abundance:flowering_jacaranda_leaf_carpet","#007C00","31744"
"abundance:flowering_jacaranda_leaves","#007C00","31744"
"abundance:flowering_redbud_hedge","#8F7748","9402184"
"abundance:flowering_redbud_leaf_carpet","#007C00","31744"
"abundance:flowering_redbud_leaves","#007C00","31744"
"abundance:flowering_redbud_log","#8F7748","9402184"
"abundance:flowering_redbud_sapling","#007C00","31744"
"abundance:flowering_redbud_wood","#8F7748","9402184"
"abundance:jacaranda_beehive","#8F7748","9402184"
"abundance:jacaranda_bookshelf","#8F7748","9402184"
"abundance:jacaranda_button","#000000","0"
"abundance:jacaranda_chest","#7A4958","8014168"
"abundance:jacaranda_door","#8F7748","9402184"
"abundance:jacaranda_fence","#8F7748","9402184"
"abundance:jacaranda_fence_gate","#8F7748","9402184"
"abundance:jacaranda_hedge","#8F7748","9402184"
"abundance:jacaranda_ladder","#000000","0"
"abundance:jacaranda_leaf_carpet","#007C00","31744"
"abundance:jacaranda_leaves","#007C00","31744"
"abundance:jacaranda_log","#8F7748","9402184"
"abundance:jacaranda_planks","#8F7748","9402184"
"abundance:jacaranda_post","#8F7748","9402184"
"abundance:jacaranda_pressure_plate","#8F7748","9402184"
"abundance:jacaranda_sapling","#007C00","31744"
"abundance:jacaranda_sign","#8F7748","9402184"
"abundance:jacaranda_slab","#8F7748","9402184"
"abundance:jacaranda_stairs","#8F7748","9402184"
"abundance:jacaranda_trapdoor","#8F7748","9402184"
"abundance:jacaranda_trapped_chest","#7A4958","8014168"
"abundance:jacaranda_vertical_slab","#8F7748","9402184"
"abundance:jacaranda_wall_sign","#7A4958","8014168"
"abundance:jacaranda_wood","#8F7748","9402184"
"abundance:lavender","#007C00","31744"
"abundance:lavender_basket","#7F3FB2","8339378"
"abundance:lavender_blossom_carpet","#7F3FB2","8339378"
"abundance:nemophila","#007C00","31744"
"abundance:potted_amaranthus","#000000","0"
"abundance:potted_chicory","#000000","0"
"abundance:potted_flowering_redbud_sapling","#000000","0"
"abundance:potted_jacaranda_sapling","#000000","0"
"abundance:potted_nemophila","#000000","0"
"abundance:potted_purple_african_daisy","#000000","0"
"abundance:potted_redbud_sapling","#000000","0"
"abundance:potted_saguaro_sprout","#000000","0"
"abundance:potted_shady_marigold","#000000","0"
"abundance:potted_sunny_marigold","#000000","0"
"abundance:potted_yellow_african_daisy","#000000","0"
"abundance:purple_african_daisy","#007C00","31744"
"abundance:redbud_beehive","#8F7748","9402184"
"abundance:redbud_bookshelf","#8F7748","9402184"
"abundance:redbud_button","#000000","0"
"abundance:redbud_chest","#7A4958","8014168"
"abundance:redbud_door","#8F7748","9402184"
"abundance:redbud_fence","#8F7748","9402184"
"abundance:redbud_fence_gate","#8F7748","9402184"
"abundance:redbud_hedge","#8F7748","9402184"
"abundance:redbud_ladder","#000000","0"
"abundance:redbud_leaf_carpet","#007C00","31744"
"abundance:redbud_leaves","#007C00","31744"
"abundance:redbud_log","#8F7748","9402184"
"abundance:redbud_planks","#8F7748","9402184"
"abundance:redbud_post","#8F7748","9402184"
"abundance:redbud_pressure_plate","#8F7748","9402184"
"abundance:redbud_sapling","#007C00","31744"
"abundance:redbud_sign","#8F7748","9402184"
"abundance:redbud_slab","#8F7748","9402184"
"abundance:redbud_stairs","#8F7748","9402184"
"abundance:redbud_trapdoor","#8F7748","9402184"
"abundance:redbud_trapped_chest","#7A4958","8014168"
"abundance:redbud_vertical_slab","#8F7748","9402184"
"abundance:redbud_wall_sign","#7A4958","8014168"
"abundance:redbud_wood","#8F7748","9402184"
"abundance:saguaro_cactus","#007C00","31744"
"abundance:saguaro_flower","#007C00","31744"
"abundance:saguaro_sprout","#007C00","31744"
"abundance:shady_marigold","#007C00","31744"
"abundance:small_saguaro_cactus","#007C00","31744"
"abundance:stripped_jacaranda_log","#8F7748","9402184"
"abundance:stripped_jacaranda_post","#8F7748","9402184"
"abundance:stripped_jacaranda_wood","#8F7748","9402184"
"abundance:stripped_redbud_log","#8F7748","9402184"
"abundance:stripped_redbud_post","#8F7748","9402184"
"abundance:stripped_redbud_wood","#8F7748","9402184"
"abundance:sunflower_seed_sack","#4C4C4C","5000268"
"abundance:sunny_marigold","#007C00","31744"
"abundance:tall_lavender","#007C00","31744"
"abundance:tall_marigold","#007C00","31744"
"abundance:vertical_jacaranda_planks","#8F7748","9402184"
"abundance:vertical_redbud_planks","#8F7748","9402184"
"abundance:yellow_african_daisy","#007C00","31744"
"additional_lights:al_lamp_acacia_planks","#000000","0"
"additional_lights:al_lamp_birch_planks","#000000","0"
"additional_lights:al_lamp_blackstone","#000000","0"
"additional_lights:al_lamp_cobblestone","#000000","0"
"additional_lights:al_lamp_crimson_planks","#000000","0"
"additional_lights:al_lamp_dark_oak_planks","#000000","0"
"additional_lights:al_lamp_diamond_block","#000000","0"
"additional_lights:al_lamp_end_stone","#000000","0"
"additional_lights:al_lamp_glass","#000000","0"
"additional_lights:al_lamp_gold_block","#000000","0"
"additional_lights:al_lamp_iron_block","#000000","0"
"additional_lights:al_lamp_jungle_planks","#000000","0"
"additional_lights:al_lamp_magenta_wool","#000000","0"
"additional_lights:al_lamp_mossy_cobblestone","#000000","0"
"additional_lights:al_lamp_nether_bricks","#000000","0"
"additional_lights:al_lamp_oak_planks","#000000","0"
"additional_lights:al_lamp_packed_ice","#000000","0"
"additional_lights:al_lamp_pink_wool","#000000","0"
"additional_lights:al_lamp_red_nether_bricks","#000000","0"
"additional_lights:al_lamp_sandstone","#000000","0"
"additional_lights:al_lamp_spruce_planks","#000000","0"
"additional_lights:al_lamp_stone","#000000","0"
"additional_lights:al_lamp_warped_planks","#000000","0"
"additional_lights:al_torch_acacia_planks","#000000","0"
"additional_lights:al_torch_birch_planks","#000000","0"
"additional_lights:al_torch_blackstone","#000000","0"
"additional_lights:al_torch_cobblestone","#000000","0"
"additional_lights:al_torch_crimson_planks","#000000","0"
"additional_lights:al_torch_dark_oak_planks","#000000","0"
"additional_lights:al_torch_diamond_block","#000000","0"
"additional_lights:al_torch_end_stone","#000000","0"
"additional_lights:al_torch_end_stone_bricks","#000000","0"
"additional_lights:al_torch_glass","#000000","0"
"additional_lights:al_torch_gold_block","#000000","0"
"additional_lights:al_torch_iron_block","#000000","0"
"additional_lights:al_torch_jungle_planks","#000000","0"
"additional_lights:al_torch_magenta_wool","#000000","0"
"additional_lights:al_torch_mossy_cobblestone","#000000","0"
"additional_lights:al_torch_mossy_stone_bricks","#000000","0"
"additional_lights:al_torch_nether_bricks","#000000","0"
"additional_lights:al_torch_oak_planks","#000000","0"
"additional_lights:al_torch_packed_ice","#000000","0"
"additional_lights:al_torch_pink_wool","#000000","0"
"additional_lights:al_torch_red_nether_bricks","#000000","0"
"additional_lights:al_torch_sandstone","#000000","0"
"additional_lights:al_torch_smooth_stone","#000000","0"
"additional_lights:al_torch_spruce_planks","#000000","0"
"additional_lights:al_torch_stone","#000000","0"
"additional_lights:al_torch_stone_bricks","#000000","0"
"additional_lights:al_torch_warped_planks","#000000","0"
"additional_lights:al_wall_torch_acacia_planks","#000000","0"
"additional_lights:al_wall_torch_birch_planks","#000000","0"
"additional_lights:al_wall_torch_blackstone","#000000","0"
"additional_lights:al_wall_torch_cobblestone","#000000","0"
"additional_lights:al_wall_torch_crimson_planks","#000000","0"
"additional_lights:al_wall_torch_dark_oak_planks","#000000","0"
"additional_lights:al_wall_torch_diamond_block","#000000","0"
"additional_lights:al_wall_torch_end_stone","#000000","0"
"additional_lights:al_wall_torch_end_stone_bricks","#000000","0"
"additional_lights:al_wall_torch_glass","#000000","0"
"additional_lights:al_wall_torch_gold_block","#000000","0"
"additional_lights:al_wall_torch_iron_block","#000000","0"
"additional_lights:al_wall_torch_jungle_planks","#000000","0"
"additional_lights:al_wall_torch_magenta_wool","#000000","0"
"additional_lights:al_wall_torch_mossy_cobblestone","#000000","0"
"additional_lights:al_wall_torch_mossy_stone_bricks","#000000","0"
"additional_lights:al_wall_torch_nether_bricks","#000000","0"
"additional_lights:al_wall_torch_oak_planks","#000000","0"
"additional_lights:al_wall_torch_packed_ice","#000000","0"
"additional_lights:al_wall_torch_pink_wool","#000000","0"
"additional_lights:al_wall_torch_red_nether_bricks","#000000","0"
"additional_lights:al_wall_torch_sandstone","#000000","0"
"additional_lights:al_wall_torch_smooth_stone","#000000","0"
"additional_lights:al_wall_torch_spruce_planks","#000000","0"
"additional_lights:al_wall_torch_stone","#000000","0"
"additional_lights:al_wall_torch_stone_bricks","#000000","0"
"additional_lights:al_wall_torch_warped_planks","#000000","0"
"additional_lights:fire_for_fire_pit_l","#D87F33","14188339"
"additional_lights:fire_for_fire_pit_s","#D87F33","14188339"
"additional_lights:fire_for_standing_torch_l","#D87F33","14188339"
"additional_lights:fire_for_standing_torch_s","#D87F33","14188339"
"additional_lights:fire_pit_l_cobblestone","#707070","7368816"
"additional_lights:fire_pit_l_cut_sandstone","#F7E9A3","16247203"
"additional_lights:fire_pit_l_diamond_block","#5CDBD5","6085589"
"additional_lights:fire_pit_l_end_stone","#F7E9A3","16247203"
"additional_lights:fire_pit_l_end_stone_bricks","#F7E9A3","16247203"
"additional_lights:fire_pit_l_gold_block","#FAEE4D","16445005"
"additional_lights:fire_pit_l_iron_block","#A7A7A7","10987431"
"additional_lights:fire_pit_l_magenta_wool","#B24CD8","11685080"
"additional_lights:fire_pit_l_mossy_cobblestone","#707070","7368816"
"additional_lights:fire_pit_l_mossy_stone_bricks","#707070","7368816"
"additional_lights:fire_pit_l_nether_bricks","#700200","7340544"
"additional_lights:fire_pit_l_packed_ice","#A0A0FF","10526975"
"additional_lights:fire_pit_l_pink_wool","#F27FA5","15892389"
"additional_lights:fire_pit_l_polished_andesite","#707070","7368816"
"additional_lights:fire_pit_l_polished_blackstone","#191919","1644825"
"additional_lights:fire_pit_l_polished_diorite","#FFFCF5","16776437"
"additional_lights:fire_pit_l_polished_granite","#976D4D","9923917"
"additional_lights:fire_pit_l_red_nether_bricks","#700200","7340544"
"additional_lights:fire_pit_l_sandstone","#F7E9A3","16247203"
"additional_lights:fire_pit_l_smooth_stone","#707070","7368816"
"additional_lights:fire_pit_l_stone","#707070","7368816"
"additional_lights:fire_pit_l_stone_bricks","#707070","7368816"
"additional_lights:fire_pit_s_cobblestone","#707070","7368816"
"additional_lights:fire_pit_s_cut_sandstone","#F7E9A3","16247203"
"additional_lights:fire_pit_s_diamond_block","#5CDBD5","6085589"
"additional_lights:fire_pit_s_end_stone","#F7E9A3","16247203"
"additional_lights:fire_pit_s_end_stone_bricks","#F7E9A3","16247203"
"additional_lights:fire_pit_s_gold_block","#FAEE4D","16445005"
"additional_lights:fire_pit_s_iron_block","#A7A7A7","10987431"
"additional_lights:fire_pit_s_magenta_wool","#B24CD8","11685080"
"additional_lights:fire_pit_s_mossy_cobblestone","#707070","7368816"
"additional_lights:fire_pit_s_mossy_stone_bricks","#707070","7368816"
