"Mod name","Registry name","Item ID","Display name"
"Absent By Design Mod","absentbydesign:stairs_concrete_magenta",9526,"Magenta Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_orange",9527,"Orange Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_pink",9528,"Pink Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_purple",9529,"Purple Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_red",9530,"Red Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_silver",9531,"Light Gray Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_white",9532,"White Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_yellow",9533,"Yellow Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_crying_obsidian",9513,"Crying Obsidian Stairs"
"Absent By Design Mod","absentbydesign:stairs_end_stone",9505,"Endstone Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass",9567,"Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_black",9583,"Black Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_blue",9579,"Blue Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_brown",9580,"Brown Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_cyan",9577,"Cyan Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_gray",9575,"Gray Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_green",9581,"Green Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_light_blue",9571,"Light Blue Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_light_gray",9576,"Light Gray Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_lime",9573,"Lime Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_magenta",9570,"Magenta Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_orange",9569,"Orange Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_pink",9574,"Pink Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_purple",9578,"Purple Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_red",9582,"Red Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_white",9568,"White Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glass_yellow",9572,"Yellow Glass Stairs"
"Absent By Design Mod","absentbydesign:stairs_glowstone",9516,"Glowstone Stairs"
"Absent By Design Mod","absentbydesign:stairs_lodestone",9514,"Lodestone Stairs"
"Absent By Design Mod","absentbydesign:stairs_magma",9515,"Magma Stairs"
"Absent By Design Mod","absentbydesign:stairs_mushroom_polished",9587,"Polished Mushroom Stairs"
"Absent By Design Mod","absentbydesign:stairs_mushroom_stem",9586,"Mushroom Stem Stairs"
"Absent By Design Mod","absentbydesign:stairs_netherrack",9507,"Netherrack Stairs"
"Absent By Design Mod","absentbydesign:stairs_obsidian",9509,"Obsidian Stairs"
"Absent By Design Mod","absentbydesign:stairs_polished_basalt",9512,"Polished Basalt Stairs"
"Absent By Design Mod","absentbydesign:stairs_quartz_bricks",9510,"Quartz Brick Stairs"
"Absent By Design Mod","absentbydesign:stairs_red_mushroom",9584,"Red Mushroom Stairs"
"Absent By Design Mod","absentbydesign:stairs_sea_lantern",9517,"Sea Lantern Stairs"
"Absent By Design Mod","absentbydesign:stairs_smooth_stone",9504,"Smooth Stone Stairs"
"Absent By Design Mod","absentbydesign:stairs_snow",9508,"Snow Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta",9550,"Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_black",9566,"Black Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_blue",9562,"Blue Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_brown",9563,"Brown Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_cyan",9560,"Cyan Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_gray",9558,"Gray Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_green",9564,"Green Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_light_blue",9554,"Light Blue Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_light_gray",9559,"Light Gray Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_lime",9556,"Lime Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_magenta",9553,"Magenta Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_orange",9552,"Orange Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_pink",9557,"Pink Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_purple",9561,"Purple Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_red",9565,"Red Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_white",9551,"White Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_terracotta_yellow",9555,"Yellow Terracotta Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_black",9534,"Black Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_blue",9535,"Blue Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_brown",9536,"Brown Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_cyan",9537,"Cyan Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_gray",9538,"Gray Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_green",9539,"Green Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_light_blue",9540,"Light Blue Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_lime",9541,"Lime Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_magenta",9542,"Magenta Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_orange",9543,"Orange Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_pink",9544,"Pink Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_purple",9545,"Purple Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_red",9546,"Red Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_silver",9547,"Light Gray Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_white",9548,"White Wool Stairs"
"Absent By Design Mod","absentbydesign:stairs_wool_yellow",9549,"Yellow Wool Stairs"
"Absent By Design Mod","absentbydesign:trapdoor_andesite",9670,"Andesite Trapdoor"
"Absent By Design Mod","absentbydesign:trapdoor_basalt",9676,"Basalt Trapdoor"
"Absent By Design Mod","absentbydesign:trapdoor_blackstone",9674,"Blackstone Trapdoor"
"Absent By Design Mod","absentbydesign:trapdoor_blackstone_bricks",9675,"Blackstone Brick Trapdoor"
"Absent By Design Mod","absentbydesign:trapdoor_bricks",9672,"Brick Trapdoor"
"Absent By Design Mod","absentbydesign:trapdoor_diorite",9671,"Diorite Trapdoor"
"Absent By Design Mod","absentbydesign:trapdoor_end_stone",9677,"Endstone Trapdoor"
"Absent By Design Mod","absentbydesign:trapdoor_granite",9669,"Granite Trapdoor"
"Absent By Design Mod","absentbydesign:trapdoor_purpur",9678,"Purpur Trapdoor"
"Absent By Design Mod","absentbydesign:trapdoor_quartz",9679,"Quartz Trapdoor"
"Absent By Design Mod","absentbydesign:trapdoor_stone",9668,"Stone Trapdoor"
"Absent By Design Mod","absentbydesign:trapdoor_stone_bricks",9673,"Stone Brick Trapdoor"
"Absent By Design Mod","absentbydesign:wall_acacia_log",9594,"Acacia Wood Wall"
"Absent By Design Mod","absentbydesign:wall_acacia_planks",9650,"Acacia Wall"
"Absent By Design Mod","absentbydesign:wall_andesite_smooth",9600,"Polished Andesite Wall"
"Absent By Design Mod","absentbydesign:wall_basalt",9618,"Basalt Wall"
"Absent By Design Mod","absentbydesign:wall_birch_log",9595,"Birch Wood Wall"
"Absent By Design Mod","absentbydesign:wall_birch_planks",9652,"Birch Wall"
"Absent By Design Mod","absentbydesign:wall_brown_mushroom",9625,"Brown Mushroom Wall"
"Absent By Design Mod","absentbydesign:wall_crimson",9615,"Crimson Wall"
"Absent By Design Mod","absentbydesign:wall_crimson_planks",9654,"Crimson Wall"
"Absent By Design Mod","absentbydesign:wall_crying_obsidian",9617,"Crying Obsidian Wall"
"Absent By Design Mod","absentbydesign:wall_dark_oak_log",9596,"Dark Oak Wood Wall"
"Absent By Design Mod","absentbydesign:wall_dark_oak_planks",9649,"Dark Oak Wall"
"Absent By Design Mod","absentbydesign:wall_dark_prismarine",9614,"Dark Prismarine Wall"
"Absent By Design Mod","absentbydesign:wall_diorite_smooth",9601,"Polished Diorite Wall"
"Absent By Design Mod","absentbydesign:wall_end_stone",9602,"Endstone Wall"
"Absent By Design Mod","absentbydesign:wall_glass",9631,"Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_black",9639,"Black Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_blue",9636,"Blue Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_brown",9637,"Brown Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_cyan",9640,"Cyan Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_gray",9642,"Gray Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_green",9647,"Green Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_light_blue",9645,"Light Blue Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_light_gray",9641,"Light Gray Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_lime",9644,"Lime Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_magenta",9634,"Magenta Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_orange",9633,"Orange Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_pink",9643,"Pink Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_purple",9635,"Purple Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_red",9638,"Red Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_white",9632,"White Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glass_yellow",9646,"Yellow Glass Wall"
"Absent By Design Mod","absentbydesign:wall_glowstone",9629,"Glowstone Wall"
"Absent By Design Mod","absentbydesign:wall_granite_smooth",9603,"Polished Granite Wall"
"Absent By Design Mod","absentbydesign:wall_jungle_log",9597,"Jungle Wood Wall"
"Absent By Design Mod","absentbydesign:wall_jungle_planks",9651,"Jungle Wall"
"Absent By Design Mod","absentbydesign:wall_lodestone",9620,"Lodestone Wall"
"Absent By Design Mod","absentbydesign:wall_magma",9628,"Magma Wall"
"Absent By Design Mod","absentbydesign:wall_mushroom_polished",9626,"Polished Mushroom Wall"
"Absent By Design Mod","absentbydesign:wall_mushroom_stem",9623,"Mushroom Stem Wall"
"Absent By Design Mod","absentbydesign:wall_oak_log",9598,"Oak Wood Wall"
"Absent By Design Mod","absentbydesign:wall_oak_planks",9648,"Oak Wall"
"Absent By Design Mod","absentbydesign:wall_obsidian",9612,"Obsidian Wall"
"Absent By Design Mod","absentbydesign:wall_polished_basalt",9619,"Polished Basalt Wall"
"Absent By Design Mod","absentbydesign:wall_prismarine_bricks",9613,"Prismarine Brick Wall"
"Absent By Design Mod","absentbydesign:wall_purpur",9604,"Purpur Wall"
"Absent By Design Mod","absentbydesign:wall_quartz",9605,"Quartz Wall"
"Absent By Design Mod","absentbydesign:wall_quartz_bricks",9627,"Quartz Brick Wall"
"Absent By Design Mod","absentbydesign:wall_red_mushroom",9624,"Red Mushroom Wall"
"Absent By Design Mod","absentbydesign:wall_sandstone_red_smooth",9606,"Smooth Red Sandstone Wall"
"Absent By Design Mod","absentbydesign:wall_sandstone_smooth",9607,"Smooth Sandstone Wall"
"Absent By Design Mod","absentbydesign:wall_sea_lantern",9630,"Sea Lantern Wall"
"Absent By Design Mod","absentbydesign:wall_spruce_log",9599,"Spruce Wood Wall"
"Absent By Design Mod","absentbydesign:wall_spruce_planks",9653,"Spruce Wall"
"Absent By Design Mod","absentbydesign:wall_stone",9608,"Stone Wall"
"Absent By Design Mod","absentbydesign:wall_stone_slab",9609,"Stone Slab Wall"
"Absent By Design Mod","absentbydesign:wall_stonebrick_carved",9610,"Carved Stonebrick Wall"
"Absent By Design Mod","absentbydesign:wall_stonebrick_cracked",9611,"Cracked Stonebrick Wall"
"Absent By Design Mod","absentbydesign:wall_stripped_acacia_log",9588,"Stripped Acacia Wall"
"Absent By Design Mod","absentbydesign:wall_stripped_birch_log",9589,"Stripped Birch Wall"
"Absent By Design Mod","absentbydesign:wall_stripped_crimson",9621,"Stripped Crimson Wall"
"Absent By Design Mod","absentbydesign:wall_stripped_dark_oak_log",9590,"Stripped Dark Oak Wall"
"Absent By Design Mod","absentbydesign:wall_stripped_jungle_log",9591,"Stripped Jungle Wall"
"Absent By Design Mod","absentbydesign:wall_stripped_oak_log",9592,"Stripped Oak Wall"
"Absent By Design Mod","absentbydesign:wall_stripped_spruce_log",9593,"Stripped Spruce Wall"
"Absent By Design Mod","absentbydesign:wall_stripped_warped",9622,"Stripped Warped Wall"
"Absent By Design Mod","absentbydesign:wall_warped",9616,"Warped Wall"
"Absent By Design Mod","absentbydesign:wall_warped_planks",9655,"Warped Wall"
"Abundance","abundance:amaranthus",16872,"Amaranthus"
"Abundance","abundance:budding_jacaranda_hedge",16831,"Budding Jacaranda Hedge"
