"ID","Registry name","Spawns"
118,"biomesoplenty:muskeg","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_guardian [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 1, min: 1, max: 1] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { savageandravage:iceologer [weight: 8, min: 1, max: 1] }; { thermal:blizz [weight: 10, min: 1, max: 3] }; { vampirism:advanced_vampire [weight: 26, min: 1, max: 1] }; { vampirism:vampire [weight: 80, min: 1, max: 3] }; { whisperwoods:zotzpyre [weight: 30, min: 1, max: 1] }; { alexsmobs:alligator_snapping_turtle [weight: 20, min: 1, max: 2] }; { alexsmobs:alligator_snapping_turtle [weight: 20, min: 1, max: 2] }; { alexsmobs:crocodile [weight: 40, min: 1, max: 2] }; { alexsmobs:crocodile [weight: 40, min: 1, max: 2] }; { alexsmobs:shoebill [weight: 10, min: 1, max: 2] }; { alexsmobs:shoebill [weight: 10, min: 1, max: 2] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { betteranimalsplus:crab [weight: 10, min: 1, max: 3] }; { betteranimalsplus:moose [weight: 8, min: 1, max: 1] }; { betteranimalsplus:reindeer [weight: 10, min: 1, max: 4] }; { whisperwoods:wisp [weight: 13, min: 1, max: 3] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { betteranimalsplus:dragonfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { whisperwoods:moth [weight: 10, min: 1, max: 3] }; { betteranimalsplus:eel_freshwater [weight: 7, min: 1, max: 2] }; { betteranimalsplus:lamprey [weight: 7, min: 1, max: 1] }"
119,"biomesoplenty:mystic_grove","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 20, min: 1, max: 1] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { whisperwoods:hidebehind [weight: 8, min: 1, max: 1] }; { whisperwoods:zotzpyre [weight: 30, min: 1, max: 1] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { ars_nouveau:carbuncle [weight: 5, min: 1, max: 1] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { ars_nouveau:sylph [weight: 5, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 1] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 1] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { environmental:deer [weight: 16, min: 1, max: 4] }; { minecraft:fox [weight: 8, min: 2, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { whisperwoods:hirschgeist [weight: 2, min: 1, max: 1] }; { whisperwoods:wisp [weight: 13, min: 1, max: 3] }; { wyrmroost:roost_stalker [weight: 7, min: 2, max: 9] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { whisperwoods:moth [weight: 10, min: 1, max: 3] }"
120,"biomesoplenty:mystic_plains","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 20, min: 1, max: 1] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { whisperwoods:zotzpyre [weight: 30, min: 1, max: 1] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { ars_nouveau:carbuncle [weight: 5, min: 1, max: 1] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { ars_nouveau:sylph [weight: 5, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:coyote [weight: 5, min: 1, max: 6] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { environmental:deer [weight: 16, min: 1, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { wyrmroost:roost_stalker [weight: 7, min: 2, max: 9] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }"
121,"biomesoplenty:ominous_woods","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:enderman [weight: 50, min: 1, max: 4] }; { minecraft:illusioner [weight: 50, min: 2, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 25, min: 1, max: 1] }; { whisperwoods:hidebehind [weight: 8, min: 1, max: 1] }; { whisperwoods:zotzpyre [weight: 30, min: 1, max: 1] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 1] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 1] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { whisperwoods:hirschgeist [weight: 2, min: 1, max: 1] }; { whisperwoods:wisp [weight: 13, min: 1, max: 3] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { whisperwoods:moth [weight: 10, min: 1, max: 3] }"
122,"biomesoplenty:ominous_mire","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:enderman [weight: 50, min: 1, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 25, min: 1, max: 1] }; { whisperwoods:hidebehind [weight: 8, min: 1, max: 1] }; { whisperwoods:zotzpyre [weight: 30, min: 1, max: 1] }; { alexsmobs:alligator_snapping_turtle [weight: 20, min: 1, max: 2] }; { alexsmobs:alligator_snapping_turtle [weight: 20, min: 1, max: 2] }; { alexsmobs:crocodile [weight: 40, min: 1, max: 2] }; { alexsmobs:crocodile [weight: 40, min: 1, max: 2] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:shoebill [weight: 10, min: 1, max: 2] }; { alexsmobs:shoebill [weight: 10, min: 1, max: 2] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 1] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 1] }; { betteranimalsplus:crab [weight: 10, min: 1, max: 3] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:moose [weight: 8, min: 1, max: 1] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { whisperwoods:hirschgeist [weight: 2, min: 1, max: 1] }; { whisperwoods:wisp [weight: 13, min: 1, max: 3] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { betteranimalsplus:dragonfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { whisperwoods:moth [weight: 10, min: 1, max: 3] }; { betteranimalsplus:eel_freshwater [weight: 7, min: 1, max: 2] }; { betteranimalsplus:lamprey [weight: 7, min: 1, max: 1] }"
123,"biomesoplenty:origin_valley","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { vampirism:advanced_vampire [weight: 26, min: 1, max: 1] }; { vampirism:vampire [weight: 80, min: 1, max: 3] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }"
124,"biomesoplenty:prairie","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { vampirism:advanced_vampire [weight: 26, min: 1, max: 1] }; { vampirism:vampire [weight: 80, min: 1, max: 3] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { ars_nouveau:carbuncle [weight: 5, min: 1, max: 1] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { ars_nouveau:sylph [weight: 5, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:coyote [weight: 5, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 3] }; { minecraft:horse [weight: 5, min: 2, max: 6] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { wyrmroost:overworld_drake [weight: 8, min: 1, max: 3] }; { wyrmroost:roost_stalker [weight: 7, min: 2, max: 9] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }"
125,"biomesoplenty:rainbow_hills","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { whisperwoods:hidebehind [weight: 8, min: 1, max: 1] }; { whisperwoods:zotzpyre [weight: 30, min: 1, max: 1] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { ars_nouveau:carbuncle [weight: 5, min: 1, max: 1] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { ars_nouveau:sylph [weight: 5, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 1] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 1] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:lammergeier [weight: 7, min: 1, max: 2] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { environmental:deer [weight: 16, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:fox [weight: 8, min: 2, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { whisperwoods:hirschgeist [weight: 2, min: 1, max: 1] }; { whisperwoods:wisp [weight: 13, min: 1, max: 3] }; { wyrmroost:roost_stalker [weight: 7, min: 2, max: 9] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { whisperwoods:moth [weight: 10, min: 1, max: 3] }"
126,"biomesoplenty:rainforest","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:ocelot [weight: 2, min: 1, max: 1] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { vampirism:advanced_vampire [weight: 26, min: 1, max: 1] }; { vampirism:vampire [weight: 80, min: 1, max: 3] }; { whisperwoods:hidebehind [weight: 8, min: 1, max: 1] }; { whisperwoods:zotzpyre [weight: 30, min: 1, max: 1] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { ars_nouveau:carbuncle [weight: 5, min: 1, max: 1] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { ars_nouveau:sylph [weight: 5, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 1] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 1] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:parrot [weight: 40, min: 1, max: 2] }; { whisperwoods:hirschgeist [weight: 2, min: 1, max: 1] }; { whisperwoods:wisp [weight: 13, min: 1, max: 3] }; { wyrmroost:dragon_fruit_drake [weight: 23, min: 4, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { whisperwoods:moth [weight: 10, min: 1, max: 3] }; { betteranimalsplus:piranha [weight: 7, min: 1, max: 5] }"
127,"minecraft:the_void","{ ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }"
128,"biomesoplenty:rainforest_cliffs","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:ocelot [weight: 2, min: 1, max: 1] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { vampirism:advanced_vampire [weight: 26, min: 1, max: 1] }; { vampirism:vampire [weight: 80, min: 1, max: 3] }; { whisperwoods:zotzpyre [weight: 30, min: 1, max: 1] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { ars_nouveau:carbuncle [weight: 5, min: 1, max: 1] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { ars_nouveau:sylph [weight: 5, min: 1, max: 1] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { minecraft:parrot [weight: 40, min: 1, max: 2] }; { wyrmroost:dragon_fruit_drake [weight: 23, min: 4, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { betteranimalsplus:piranha [weight: 7, min: 1, max: 5] }"
