"ID","Tagged objects"
"alexsmobs:grizzly_foodstuffs","minecraft:honeycomb, minecraft:honey_block, minecraft:honeycomb_block, minecraft:honey_bottle, minecraft:salmon, minecraft:bee_nest, minecraft:beetroot"
"alexsmobs:grizzly_honey","minecraft:honeycomb, minecraft:honey_block, minecraft:honeycomb_block, minecraft:honey_bottle"
"alexsmobs:insect_items","alexsmobs:maggot, alexsmobs:mosquito_larva, alexsmobs:leafcutter_ant_pupa"
"alexsmobs:mimic_octopus_creeper_items","minecraft:gunpowder, minecraft:creeper_head"
"alexsmobs:mimic_octopus_guardian_items","minecraft:prismarine_shard, minecraft:prismarine_crystals"
"alexsmobs:mimic_octopus_pufferfish_items","minecraft:pufferfish, minecraft:pufferfish_bucket"
"alexsmobs:platypus_foodstuffs","minecraft:redstone, minecraft:redstone_block, alexsmobs:mosquito_larva, alexsmobs:maggot, minecraft:cod, minecraft:cooked_cod, minecraft:salmon, minecraft:cooked_salmon, minecraft:pufferfish, minecraft:tropical_fish, environmental:koi, upgrade_aquatic:pike, upgrade_aquatic:cooked_pike, upgrade_aquatic:lionfish, upgrade_aquatic:cooked_lionfish, upgrade_aquatic:perch, upgrade_aquatic:cooked_perch, alexsmobs:lobster_tail, alexsmobs:cooked_lobster_tail"
"alexsmobs:raccoon_foodstuffs","minecraft:egg, minecraft:turtle_egg, minecraft:sugar"
"alexsmobs:seal_foodstuffs","minecraft:cod, minecraft:cooked_cod, minecraft:salmon, minecraft:cooked_salmon, minecraft:pufferfish, minecraft:tropical_fish, environmental:koi, upgrade_aquatic:pike, upgrade_aquatic:cooked_pike, upgrade_aquatic:lionfish, upgrade_aquatic:cooked_lionfish, upgrade_aquatic:perch, upgrade_aquatic:cooked_perch, alexsmobs:lobster_tail, alexsmobs:cooked_lobster_tail"
"alexsmobs:shoebill_foodstuffs","minecraft:cod, minecraft:cooked_cod, minecraft:salmon, minecraft:cooked_salmon, minecraft:pufferfish, minecraft:tropical_fish, environmental:koi, upgrade_aquatic:pike, upgrade_aquatic:cooked_pike, upgrade_aquatic:lionfish, upgrade_aquatic:cooked_lionfish, upgrade_aquatic:perch, upgrade_aquatic:cooked_perch"
"alexsmobs:shrimp_rice_fryables","pamhc2crops:riceitem, thermal:rice, farmersdelight:rice"
"alexsmobs:tiger_breedables","alexsmobs:acacia_blossom"
"alexsmobs:void_worm_drops","alexsmobs:void_worm_mandible, alexsmobs:void_worm_eye"
"appliedenergistics2:crystals/certus","emendatusenigmatica:certus_quartz_gem, emendatusenigmatica:charged_certus_quartz_gem"
"appliedenergistics2:crystals/certus_quartz","emendatusenigmatica:certus_quartz_gem"
"appliedenergistics2:crystals/charged_certus_quartz","emendatusenigmatica:charged_certus_quartz_gem"
"appliedenergistics2:crystals/fluix","emendatusenigmatica:fluix_gem"
"appliedenergistics2:crystals/quartz","emendatusenigmatica:certus_quartz_gem, emendatusenigmatica:charged_certus_quartz_gem"
"appliedenergistics2:dusts/certus_quartz","emendatusenigmatica:certus_quartz_dust"
"appliedenergistics2:dusts/fluix","emendatusenigmatica:fluix_dust"
"appliedenergistics2:dusts/nether_quartz","emendatusenigmatica:quartz_dust"
"appliedenergistics2:dusts/quartz","emendatusenigmatica:certus_quartz_dust, emendatusenigmatica:quartz_dust"
"appliedenergistics2:silicon","emendatusenigmatica:silicon_gem"
"ars_nouveau:magic_food","ars_nouveau:source_berry_roll, ars_nouveau:source_berry_pie"
"ars_nouveau:sylph/denied_drop","minecraft:dirt, supplementaries:flax_seeds, betterendforge:blue_vine_seed, betterendforge:end_lily_seed, betterendforge:hydralux_sapling, betterendforge:lanceleaf_seed, betterendforge:lumecorn_seed, betterendforge:glowing_pillar_seed, betterendforge:shadow_berry, betterendforge:blossom_berry_seed, betterendforge:amber_root_seed, betterendforge:chorus_mushroom_seed, betterendforge:bulb_vine_seed, betterendforge:end_lotus_seed, silentgear:flax_seeds, silentgear:fluffy_seeds, jellyfishing:pineapple_seeds, immersiveengineering:seed, pamhc2crops:agaveseeditem, pamhc2crops:amaranthseeditem, pamhc2crops:arrowrootseeditem, pamhc2crops:artichokeseeditem, croptopia:artichoke_seed, pamhc2crops:asparagusseeditem, croptopia:asparagus_seed, pamhc2crops:barleyseeditem, croptopia:barley_seed, thermal:barley_seeds, pamhc2crops:beanseeditem, pamhc2crops:bellpepperseeditem, croptopia:bellpepper_seed, pamhc2crops:blackberryseeditem, croptopia:blackberry_seed, pamhc2crops:blueberryseeditem, croptopia:blueberry_seed, pamhc2crops:broccoliseeditem, croptopia:broccoli_seed, pamhc2crops:brusselsproutseeditem, pamhc2crops:cabbageseeditem, croptopia:cabbage_seed, farmersdelight:cabbage_seeds, pamhc2crops:cactusfruitseeditem, pamhc2crops:candleberryseeditem, pamhc2crops:cantaloupeseeditem, croptopia:cantaloupe_seed, pamhc2crops:cassavaseeditem, pamhc2crops:cauliflowerseeditem, croptopia:cauliflower_seed, pamhc2crops:celeryseeditem, croptopia:celery_seed, pamhc2crops:chickpeaseeditem, pamhc2crops:chilipepperseeditem, pamhc2crops:coffeebeanseeditem, pamhc2crops:cornseeditem, croptopia:corn_seed, thermal:corn_seeds, pamhc2crops:cottonseeditem, pamhc2crops:cranberryseeditem, croptopia:cranberry_seed, pamhc2crops:cucumberseeditem, croptopia:cucumber_seed, pamhc2crops:eggplantseeditem, croptopia:eggplant_seed, thermal:eggplant_seeds, pamhc2crops:elderberryseeditem, croptopia:elderberry_seed, pamhc2crops:flaxseeditem, thermal:flax_seeds, pamhc2crops:garlicseeditem, croptopia:garlic_seed, pamhc2crops:gingerseeditem, croptopia:ginger_seed, pamhc2crops:grapeseeditem, croptopia:grape_seed, pamhc2crops:greengrapeseeditem, pamhc2crops:huckleberryseeditem, pamhc2crops:jicamaseeditem, pamhc2crops:juniperberryseeditem, pamhc2crops:juteseeditem, pamhc2crops:kaleseeditem, croptopia:kale_seed, pamhc2crops:kenafseeditem, pamhc2crops:kiwiseeditem, croptopia:kiwi_seed, pamhc2crops:kohlrabiseeditem, pamhc2crops:leekseeditem, croptopia:leek_seed, pamhc2crops:lentilseeditem, pamhc2crops:lettuceseeditem, croptopia:lettuce_seed, pamhc2crops:milletseeditem, pamhc2crops:mulberryseeditem, pamhc2crops:mustardseedsseeditem, pamhc2crops:oatsseeditem, pamhc2crops:okraseeditem, pamhc2crops:onionseeditem, croptopia:onion_seed, thermal:onion_seeds, pamhc2crops:parsnipseeditem, pamhc2crops:peanutseeditem, croptopia:peanut_seed, thermal:peanut_seeds, pamhc2crops:peasseeditem, pamhc2crops:pineappleseeditem, croptopia:pineapple_seed, pamhc2crops:quinoaseeditem, pamhc2crops:radishseeditem, croptopia:radish_seed, thermal:radish_seeds, pamhc2crops:raspberryseeditem, croptopia:raspberry_seed, pamhc2crops:rhubarbseeditem, croptopia:rhubarb_seed, pamhc2crops:riceseeditem, croptopia:rice_seed, thermal:rice_seeds, farmersdelight:rice, pamhc2crops:rutabagaseeditem, croptopia:rutabaga_seed, pamhc2crops:ryeseeditem, pamhc2crops:scallionseeditem, pamhc2crops:sesameseedsseeditem, pamhc2crops:sisalseeditem, pamhc2crops:soybeanseeditem, croptopia:soybean_seed, pamhc2crops:spiceleafseeditem, pamhc2crops:spinachseeditem, croptopia:spinach_seed, thermal:spinach_seeds, pamhc2crops:strawberryseeditem, croptopia:strawberry_seed, thermal:strawberry_seeds, pamhc2crops:sweetpotatoseeditem, croptopia:sweetpotato_seed, pamhc2crops:taroseeditem, pamhc2crops:tealeafseeditem, pamhc2crops:tomatilloseeditem, croptopia:tomatillo_seed, pamhc2crops:tomatoseeditem, croptopia:tomato_seed, thermal:tomato_seeds, farmersdelight:tomato_seeds, pamhc2crops:turnipseeditem, croptopia:turnip_seed, pamhc2crops:waterchestnutseeditem, pamhc2crops:whitemushroomseeditem, pamhc2crops:wintersquashseeditem, pamhc2crops:zucchiniseeditem, croptopia:zucchini_seed, minecraft:beetroot_seeds, minecraft:melon_seeds, minecraft:pumpkin_seeds, minecraft:wheat_seeds, croptopia:basil_seed, croptopia:blackbean_seed, croptopia:chile_pepper_seed, croptopia:coffee_seed, thermal:coffee_seeds, croptopia:currant_seed, croptopia:greenbean_seed, croptopia:greenonion_seed, croptopia:honeydew_seed, croptopia:hops_seed, thermal:hops_seeds, croptopia:mustard_seed, croptopia:oat_seed, croptopia:olive_seed, croptopia:pepper_seed, croptopia:saguaro_seed, croptopia:squash_seed, croptopia:tea_seed, thermal:tea_seeds, croptopia:turmeric_seed, croptopia:yam_seed, thermal:bell_pepper_seeds, thermal:frost_melon_seeds, thermal:green_bean_seeds, thermal:sadiroot_seeds, ars_nouveau:mana_bloom_crop, autumnity:foul_berry_pips, silentgems:fluffy_puff_seeds"
"astralsorcery:colored_lens","astralsorcery:colored_lens_break, astralsorcery:colored_lens_damage, astralsorcery:colored_lens_fire, astralsorcery:colored_lens_growth, astralsorcery:colored_lens_push, astralsorcery:colored_lens_regeneration, astralsorcery:colored_lens_spectral"
"astralsorcery:stardust","astralsorcery:stardust"
"astralsorcery:starmetal","astralsorcery:starmetal_ingot"
"autumnity:maple_logs","autumnity:maple_log, autumnity:maple_wood, autumnity:stripped_maple_log, autumnity:stripped_maple_wood, autumnity:sappy_maple_log, autumnity:sappy_maple_wood"
"autumnity:snail_breeding_items","minecraft:mushroom_stew, minecraft:suspicious_stew, farmersdelight:nether_salad"
"autumnity:snail_foods","minecraft:red_mushroom, minecraft:brown_mushroom, minecraft:crimson_fungus, minecraft:warped_fungus"
"autumnity:snail_glowing_foods",""
"autumnity:snail_speeding_foods","minecraft:crimson_fungus, minecraft:warped_fungus"
"autumnity:snail_temptation_items","minecraft:red_mushroom, minecraft:brown_mushroom, minecraft:crimson_fungus, minecraft:warped_fungus, minecraft:mushroom_stew, minecraft:suspicious_stew, farmersdelight:nether_salad, minecraft:warped_fungus_on_a_stick"
"autumnity:turkey_breeding_items","autumnity:foul_berries"
"betteranimalsplus:feral_wolf_tame_armor","whisperwoods:hirschgeist_skull, minecraft:dragon_head"
"betteranimalsplus:pelts","betteranimalsplus:bear_skin_black, betteranimalsplus:bear_skin_brown, betteranimalsplus:bear_skin_kermode, betteranimalsplus:wolf_pelt_arctic, betteranimalsplus:wolf_pelt_black, betteranimalsplus:wolf_pelt_snowy, betteranimalsplus:wolf_pelt_timber, betteranimalsplus:wolf_pelt_red, betteranimalsplus:wolf_pelt_brown"
