"Index","Name","Translated Name","Icon Item"
88,"createaddition:main","Create Crafts & Additions","[createaddition:electric_motor - 'Electric Motor']"
89,"silentgems.blocks","Silent's Gems: Blocks","[silentgems:black_diamond_block - 'Block of Black Diamond']"
90,"silentgems.materials","Silent's Gems: Materials","[silentgems:chrysoprase - 'Chrysoprase']"
91,"silentgems.utility","Silent's Gems: Utility","[silentgems:chaos_onyx - 'Chaos Onyx']"
92,"snowrealmagic","Snow! Real Magic!","[minecraft:snowball - 'Snowball']"
93,"biomesoplenty","Biomes O' Plenty","[biomesoplenty:bop_icon - 'BOP Icon']"
94,"tabSereneSeasons","Serene Seasons","[sereneseasons:ss_icon - 'SS Icon']"
95,"integratedterminals","Integrated Terminals","[integratedterminals:part_terminal_storage - 'Storage Terminal']"
96,"integratedcrafting","Integrated Crafting","[integratedcrafting:part_interface_crafting - 'Crafting Interface']"
97,"flopper","Flopper","[flopper:flopper - 'Flopper']"
98,"integrateddynamics","Integrated Dynamics","[integrateddynamics:cable - 'Logic Cable']"
99,"integratednbt","Integrated NBT","[integratednbt:nbt_extractor - 'NBT Extractor']"
100,"cagedmobstab","Caged Mobs","[cagedmobs:hoppingmobcage - 'Hopping Mob Cage']"
101,"byg","BYG","[byg:byg_logo - 'Byg Logo']"
102,"resourcefulbees","Resourceful Bees","[resourcefulbees:t1_beehive - 'Tier 1 Beehive']"
103,"integratedtunnels","Integrated Tunnels","[integratedtunnels:part_interface_item - 'Item Interface']"
104,"elevators_tab","Elevators","[elevatorid:elevator_white - 'White Elevator']"
105,"storagedrawers","Storage Drawers","[storagedrawers:oak_full_drawers_2 - 'Oak Drawers 1x2']"
106,"abnormals_delight","Farmer's Delight","[farmersdelight:stove - 'Stove']"
