"Registry name","Display name","Hunger","Saturation","Is meat","Fast to eat","Tags","Effects"
"alexsmobs:blobfish","Blobfish",3,0.4,"true","false","diet:proteins","{[effect.minecraft.poison, Duration: 120], Propability: 1.0}"
"alexsmobs:boiled_emu_egg","Boiled Emu Egg",4,1.0,"true","false","",""
"alexsmobs:cooked_kangaroo_meat","Cooked Kangaroo Meat",8,0.85,"true","false","",""
"alexsmobs:cooked_lobster_tail","Cooked Lobster Tail",6,0.65,"true","false","alexsmobs:platypus_foodstuffs, alexsmobs:seal_foodstuffs",""
"alexsmobs:cooked_moose_ribs","Cooked Moose Ribs",7,0.85,"true","false","",""
"alexsmobs:fish_oil","Fish Oil",0,0.2,"false","false","alexsmobs:bald_eagle_tameables",""
"alexsmobs:gongylidia","Gongylidia",3,1.2,"false","false","diet:vegetables",""
"alexsmobs:kangaroo_burger","Kangaroo Burger",12,1.0,"true","false","",""
"alexsmobs:kangaroo_meat","Kangaroo Meat",4,0.6,"true","false","diet:proteins",""
"alexsmobs:lobster_tail","Lobster Tail",2,0.4,"true","false","alexsmobs:platypus_foodstuffs, alexsmobs:seal_foodstuffs, diet:proteins",""
"alexsmobs:maggot","Maggot",1,0.2,"false","false","alexsmobs:insect_items, alexsmobs:platypus_foodstuffs, diet:proteins",""
"alexsmobs:moose_ribs","Raw Moose Ribs",3,0.6,"true","false","diet:proteins",""
"alexsmobs:shrimp_fried_rice","Shrimp-Fried Rice",12,1.0,"false","false","diet:grains, diet:proteins",""
"alexsmobs:sopa_de_macaco","Sopa De Macaco",5,0.4,"true","false","",""
"ars_nouveau:mana_berry","Source Berry",2,0.1,"false","false","diet:fruits","{[effect.ars_nouveau.mana_regen, Duration: 100], Propability: 1.0}"
"ars_nouveau:source_berry_pie","Source Berry Pie",9,0.9,"false","false","ars_nouveau:magic_food","{[effect.ars_nouveau.mana_regen x 2, Duration: 1200], Propability: 1.0}"
"ars_nouveau:source_berry_roll","Source Berry Roll",8,0.6,"false","false","ars_nouveau:magic_food","{[effect.ars_nouveau.mana_regen, Duration: 1200], Propability: 1.0}"
"autumnity:cooked_turkey_piece","Cooked Turkey Piece",2,0.6,"true","true","",""
"autumnity:foul_berries","Foul Berries",1,0.1,"false","false","autumnity:turkey_breeding_items, diet:fruits, supplementaries:flower_box_plantable","{[effect.autumnity.foul_taste, Duration: 320], Propability: 1.0}"
"autumnity:foul_soup","Foul Soup",2,0.6,"false","false","farmersdelight:stackable_soup_items","{[effect.autumnity.foul_taste x 2, Duration: 2400], Propability: 1.0}"
"autumnity:pumpkin_bread","Pumpkin Bread",8,0.4,"false","false","",""
"autumnity:syrup_bottle","Syrup Bottle",4,0.3,"false","false","diet:sugars",""
"autumnity:turkey_piece","Raw Turkey Piece",1,0.3,"true","true","","{[effect.minecraft.hunger, Duration: 600], Propability: 0.1}"
"betteranimalsplus:blubber","Blubber",1,2.0,"false","false","diet:proteins",""
"betteranimalsplus:calamari_cooked","Cooked Calamari",7,0.65,"true","false","forge:cookedcalamari, forge:cookedsquid",""
"betteranimalsplus:calamari_raw","Raw Calamari",2,0.25,"true","false","diet:proteins, forge:rawcalamari, forge:rawmeats, forge:rawsquid, forge:stock_ingredients",""
"betteranimalsplus:crab_meat_cooked","Cooked Crab Meat",5,1.2,"true","false","forge:cookedcrab",""
"betteranimalsplus:crab_meat_raw","Raw Crab Meat",2,1.0,"true","false","diet:proteins, forge:rawcrab, forge:rawmeats, forge:stock_ingredients",""
"betteranimalsplus:eel_meat_cooked","Cooked Eel Meat",4,0.7,"true","false","forge:cookedeel, forge:cookedfish",""
"betteranimalsplus:eel_meat_raw","Raw Eel Meat",1,0.0,"true","false","diet:proteins, forge:raweel, forge:rawfish, forge:rawmeats, forge:stock_ingredients",""
"betteranimalsplus:fried_egg","Fried Egg",5,1.5,"true","false","",""
"betteranimalsplus:goatcheese","Goat Cheese",3,1.0,"false","false","diet:proteins, forge:all_cheese, forge:cheese, forge:goatcheese",""
"betteranimalsplus:pheasantcooked","Cooked Pheasant",7,1.2,"true","false","forge:cookedchicken, forge:cookedpheasant",""
"betteranimalsplus:pheasantraw","Raw Pheasant",3,0.0,"true","false","diet:proteins, forge:rawchicken, forge:rawmeats, forge:rawpheasant, forge:stock_ingredients",""
"betteranimalsplus:turkey_leg_cooked","Cooked Turkey Leg",4,1.2,"true","false","forge:cookedchicken, forge:cookedturkey",""
"betteranimalsplus:turkey_leg_raw","Raw Turkey Leg",2,0.0,"true","false","diet:proteins, forge:rawchicken, forge:rawmeats, forge:rawturkey, forge:stock_ingredients",""
"betteranimalsplus:venisoncooked","Cooked Venison",8,1.2,"true","false","forge:cookedbeef, forge:cookedvenison",""
"betteranimalsplus:venisonraw","Raw Venison",4,0.0,"true","false","diet:proteins, forge:rawbeef, forge:rawmeats, forge:rawvenison, forge:stock_ingredients",""
"betterendforge:amber_root_raw","Raw Amber Root",2,0.8,"false","false","diet:vegetables, forge:vegetables",""
"betterendforge:blossom_berry","Blossom Berry",4,0.3,"false","false","diet:fruits, forge:fruits",""
"betterendforge:chorus_mushroom_cooked","Cooked Chorus Mushroom",6,0.6,"false","false","",""
"betterendforge:chorus_mushroom_raw","Raw Chorus Mushroom",3,0.5,"false","false","diet:vegetables, farmersdelight:cabbage_roll_ingredients, forge:mushrooms, supplementaries:flower_box_plantable",""
"betterendforge:end_fish_cooked","Cooked End Fish",6,0.8,"false","false","forge:cooked_fishes",""
"betterendforge:end_fish_raw","End Fish",2,0.1,"false","false","diet:proteins, farmersdelight:cabbage_roll_ingredients, forge:raw_fishes",""
"betterendforge:shadow_berry_cooked","Shadow Berry Cooked",6,0.7,"false","false","",""
"betterendforge:shadow_berry_jelly","Shadow Berry Jelly",4,0.75,"false","false","","{[effect.minecraft.night_vision, Duration: 400], Propability: 1.0}"
"betterendforge:shadow_berry_raw","Shadow Berry",4,0.5,"false","false","diet:fruits, forge:fruits",""
"betterendforge:sweet_berry_jelly","Sweet Berry Jelly",3,0.75,"false","false","",""
"betterendforge:umbrella_cluster_juice","Umbrella Cluster Juice",5,0.7,"false","false","diet:fruits",""
"buzzier_bees:glazed_porkchop","Glazed Porkchop",9,0.8,"false","false","",""
"buzzier_bees:honey_apple","Honey Apple",5,0.4,"false","false","",""
"buzzier_bees:honey_bread","Honey Bread",6,0.8,"false","false","",""
"buzzier_bees:sticky_honey_wand","Sticky Honey Wand",6,0.1,"false","false","diet:sugars",""
"byg:baobab_fruit","Baobab Fruit",3,0.5,"false","false","diet:fruits, forge:fruits",""
"byg:black_puff","Black Puff",2,0.6,"false","false","diet:vegetables, farmersdelight:cabbage_roll_ingredients, forge:mushrooms, supplementaries:flower_box_plantable",""
"byg:blueberries","Blueberries",2,0.1,"false","false","byg:blue_dye, diet:fruits, forge:fruits, supplementaries:flower_box_plantable",""
"byg:blueberry_pie","Blueberry Pie",6,0.3,"false","false","","{[effect.minecraft.speed, Duration: 200], Propability: 1.0}"
"byg:cooked_joshua_fruit","Cooked Joshua Fruit",5,0.4,"false","false","",""
"byg:crimson_berries","Crimson Berries",3,0.4,"false","false","diet:fruits, forge:fruits, supplementaries:flower_box_plantable",""
"byg:crimson_berry_pie","Crimson Berry Pie",6,0.3,"false","false","","{[effect.minecraft.fire_resistance, Duration: 200], Propability: 1.0}"
"byg:death_cap","Death Cap",2,0.6,"false","false","diet:vegetables","{[effect.minecraft.wither, Duration: 200], Propability: 1.0}"
"byg:ether_bulbs","Ether Bulbs Block",0,5.0,"false","false","","{[effect.minecraft.glowing, Duration: 200], Propability: 1.0}"
"byg:green_apple","Green Apple",4,0.35,"false","false","diet:fruits, forge:fruits",""
"byg:green_apple_pie","Green Apple Pie",6,0.4,"false","false","","{[effect.minecraft.haste, Duration: 200], Propability: 1.0}"
"byg:green_mushroom","Green Mushroom",2,0.6,"false","false","diet:vegetables, farmersdelight:cabbage_roll_ingredients, forge:mushrooms, supplementaries:flower_box_plantable",""
"byg:holly_berries","Holly Berries",2,0.1,"false","false","diet:fruits","{[effect.minecraft.poison, Duration: 200], Propability: 1.0}"
"byg:joshua_fruit","Joshua Fruit",2,0.35,"false","false","diet:fruits, forge:fruits",""
"byg:nightshade_berries","Nightshade Berries",3,0.4,"false","false","diet:fruits, supplementaries:flower_box_plantable",""
"byg:nightshade_berry_pie","Nightshade Berry Pie",6,0.3,"false","false","","{[effect.minecraft.night_vision, Duration: 200], Propability: 1.0}"
"byg:soul_shroom","Soul Shroom",2,0.6,"false","false","diet:vegetables, supplementaries:flower_box_plantable","{[effect.minecraft.weakness, Duration: 200], Propability: 1.0}"
"byg:weeping_milkcap","Weeping Milkcap",2,0.6,"false","false","diet:vegetables, farmersdelight:cabbage_roll_ingredients, forge:mushrooms, supplementaries:flower_box_plantable",""
"byg:wood_blewit","Wood Blewit",2,0.6,"false","false","diet:vegetables, farmersdelight:cabbage_roll_ingredients, forge:mushrooms, supplementaries:flower_box_plantable",""
"create:bar_of_chocolate","Bar of Chocolate",6,0.3,"false","false","diet:sugars, supplementaries:chocolate_bars",""
"create:chocolate_glazed_berries","Chocolate Glazed Berries",7,0.8,"false","false","diet:fruits, diet:sugars, supplementaries:cookies",""
"create:honeyed_apple","Honeyed Apple",8,0.8,"false","false","diet:fruits, diet:sugars, supplementaries:cookies",""
"create:sweet_roll","Sweet Roll",6,0.8,"false","false","diet:grains, diet:sugars",""
"create_confectionery:bar_of_black_chocolate","Bar of Black Chocolate",6,0.3,"false","false","",""
"create_confectionery:bar_of_caramel","Bar of Caramel",6,0.3,"false","false","",""
"create_confectionery:bar_of_ruby_chocolate","Bar of Ruby Chocolate",6,0.3,"false","false","",""
"create_confectionery:bar_of_white_chocolate","Bar of White Chocolate",6,0.3,"false","false","",""
"create_confectionery:black_chocolate_candy","Black Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:black_chocolate_candy_1","Black Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:black_chocolate_candy_2","Black Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:black_chocolate_candy_3","Black Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:black_chocolate_glazed_berries","Black Chocolate Glazed Berries",7,0.8,"false","false","",""
"create_confectionery:black_chocolate_glazed_marshmallow","Black Chocolate Glazed Marshmallow",5,0.6,"false","false","",""
"create_confectionery:caramel_glazed_berries","Caramel Glazed Berries",7,0.8,"false","false","",""
"create_confectionery:caramelized_marshmellow_on_a_stick","Caramelized Marshmallows on a Stick",8,0.6,"false","false","",""
"create_confectionery:chocolate_candy","Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:chocolate_candy_1","Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:chocolate_candy_2","Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:chocolate_candy_3","Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:chocolate_glazed_marshmallow","Chocolate Glazed Marshmallow",5,0.6,"false","false","",""
"create_confectionery:honey_candy","Honey Candy",3,0.8,"false","false","",""
"create_confectionery:hot_chocolate_bottle","Hot Chocolate",4,0.3,"false","false","",""
"create_confectionery:marshmallow","Marshmallow",2,0.4,"false","false","",""
"create_confectionery:marshmallow_on_a_stick","Marshmallows on a Stick",7,0.5,"false","false","",""
"create_confectionery:ruby_chocolate_candy","Ruby Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:ruby_chocolate_candy_1","Ruby Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:ruby_chocolate_candy_2","Ruby Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:ruby_chocolate_candy_3","Ruby Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:ruby_chocolate_glazed_berries","Roby Chocolate Glazed Berries",7,0.8,"false","false","",""
"create_confectionery:ruby_chocolate_glazed_marshmallow","Ruby Chocolate Glazed Marshmallow",5,0.6,"false","false","",""
"create_confectionery:soothing_hot_chocolate","Soothing Hot Chocolate",6,0.4,"false","false","",""
"create_confectionery:white_chocolate_candy","White Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:white_chocolate_candy_1","White Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:white_chocolate_candy_2","White Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:white_chocolate_candy_3","White Chocolate Candy",8,0.7,"false","false","",""
"create_confectionery:white_chocolate_glazed_berries","White Chocolate Glazed Berries",7,0.8,"false","false","",""
"create_confectionery:white_chocolate_glazed_marshmallow","White Chocolate Glazed Marshmallow",5,0.6,"false","false","",""
"croptopia:almond","Almond",3,0.4,"false","false","croptopia:nuts, diet:proteins, forge:fruits, forge:fruits/almonds, forge:nuts/almonds, nourish:fruit, nourish:protein",""
"croptopia:almond_brittle","Almond Brittle",7,0.6,"false","false","forge:almond_brittles",""
"croptopia:apple_juice","Apple Juice",5,0.5,"false","false","dehydration:hydrating_stew, forge:juices, forge:juices/apple_juice, nourish:fruit, nourish:sweets",""
"croptopia:apple_pie","Apple Pie",14,1.0,"false","false","diet:fruits, diet:grains, diet:sugars, forge:apple_pies, nourish:carbohydrates, nourish:fats, nourish:fruit, nourish:sweets",""
"croptopia:apricot","Apricot",3,0.4,"false","false","dehydration:hydrating_foods, diet:fruits, forge:fruits, forge:fruits/apricots, nourish:fruit",""
"croptopia:apricot_jam","Apricot Jam",3,0.4,"false","false","forge:jam, forge:jams/apricot_jam, forge:jellies, nourish:fruit, nourish:sweets",""
"croptopia:artichoke","Artichoke",1,0.4,"false","false","diet:vegetables, forge:vegetables, forge:vegetables/artichokes, nourish:vegetables",""
"croptopia:artichoke_dip","Artichoke Dip",3,0.4,"false","false","croptopia:sauces, dehydration:hydrating_foods, forge:artichoke_dips, nourish:vegetables",""
"croptopia:asparagus","Asparagus",3,0.4,"false","false","diet:vegetables, forge:vegetables, forge:vegetables/asparagus, nourish:protein, nourish:vegetables",""
"croptopia:avocado","Avocado",3,0.4,"false","false","diet:fruits, forge:fruits, forge:fruits/avocados, nourish:fats, nourish:fruit",""
"croptopia:baked_beans","Baked Beans",5,0.5,"false","false","forge:baked_beans, nourish:protein",""
"croptopia:banana","Banana",3,0.4,"false","false","dehydration:hydrating_foods, diet:fruits, forge:fruits, forge:fruits/bananas, nourish:fruit",""
"croptopia:banana_cream_pie","Banana Cream Pie",14,1.0,"false","false","forge:banana_cream_pies, nourish:carbohydrates, nourish:fruit, nourish:sweets",""
"croptopia:banana_nut_bread","Banana Nut Bread",10,0.8,"false","false","forge:banana_nut_breads, nourish:carbohydrates, nourish:fats, nourish:fruit, nourish:sweets",""
"croptopia:banana_smoothie","Banana Smoothie",7,0.6,"false","false","dehydration:hydrating_drinks, forge:banana_smoothies, nourish:fruit, nourish:sweets",""
"croptopia:barley","Barley",1,0.4,"false","false","croptopia:flourable, diet:grains, forge:grains, forge:grains/barley, nourish:carbohydrates",""
"croptopia:basil","Basil",1,0.4,"false","false","diet:vegetables, forge:crops/basil",""
"croptopia:beef_jerky","Beef Jerky",5,0.5,"false","false","diet:proteins, forge:beef_jerkies, nourish:protein",""
"croptopia:beef_wellington","Beef Wellington",18,1.4,"false","false","forge:beef_wellington, nourish:protein",""
"croptopia:beer","Beer",7,0.6,"false","false","dehydration:hydrating_drinks, diet:grains, forge:beers, nourish:carbohydrates",""
"croptopia:bellpepper","Bell Pepper",3,0.4,"false","false","croptopia:peppers, diet:vegetables, forge:fruits, forge:fruits/bellpeppers, nourish:vegetables",""
"croptopia:blackbean","Black Bean",3,0.4,"false","false","diet:proteins, forge:crops/blackbeans, nourish:protein",""
"croptopia:blackberry","Blackberry",3,0.4,"false","false","dehydration:hydrating_foods, diet:fruits, forge:fruits, forge:fruits/blackberries, nourish:fruit",""
"croptopia:blackberry_jam","Blackberry Jam",3,0.4,"false","false","forge:jam, forge:jams/blackberry_jam, forge:jellies, nourish:fruit, nourish:sweets",""
"croptopia:blt","Bacon Lettuce Tomato Sandwich",10,0.8,"false","false","forge:blts, nourish:carbohydrates, nourish:protein, nourish:vegetables",""
"croptopia:blueberry","Blueberry",3,0.4,"false","false","dehydration:hydrating_foods, diet:fruits, forge:fruits, forge:fruits/blueberries, nourish:fruit",""
"croptopia:blueberry_jam","Blueberry Jam",3,0.4,"false","false","forge:jam, forge:jams/blueberry_jam, forge:jellies, nourish:fruit, nourish:sweets",""
"croptopia:broccoli","Broccoli",3,0.4,"false","false","diet:vegetables, forge:vegetables, forge:vegetables/broccoli, nourish:protein, nourish:vegetables",""
"croptopia:brownies","Brownies",10,0.8,"false","false","diet:sugars, forge:brownies, nourish:carbohydrates, nourish:fats, nourish:sweets",""
"croptopia:burrito","Burrito",10,0.8,"false","false","nourish:carbohydrates, nourish:vegetables",""
"croptopia:butter","Butter",3,0.4,"false","false","diet:ingredients, forge:butters, nourish:fats",""
"croptopia:buttered_toast","Buttered Toast",9,0.6,"false","false","forge:buttered_toasts, nourish:carbohydrates",""
"croptopia:cabbage","Cabbage",1,0.4,"false","false","diet:vegetables, forge:vegetables, forge:vegetables/cabbage, nourish:vegetables",""
"croptopia:caesar_salad","Caesar Salad",10,0.8,"false","false","forge:caesar_salads, nourish:vegetables",""
"croptopia:candied_nuts","Candied Nuts",5,0.5,"false","false","forge:candied_nuts",""
"croptopia:candy_corn","Candy Corn",5,0.5,"false","false","forge:candy_corns, nourish:fats, nourish:sweets",""
"croptopia:cantaloupe","Cantaloupe",3,0.4,"false","false","croptopia:melons, dehydration:hydrating_foods, diet:fruits, forge:fruits, forge:fruits/cantaloupes, nourish:fruit",""
"croptopia:carnitas","Carnitas",10,0.8,"false","false","nourish:carbohydrates, nourish:protein, nourish:vegetables",""
"croptopia:cashew","Cashew",1,0.4,"false","false","croptopia:nuts, diet:proteins, forge:fruits, forge:fruits/cashews, nourish:fruit, nourish:protein",""
"croptopia:cashew_chicken","Cashew Chicken",14,1.0,"false","false","forge:cashew_chickens",""
"croptopia:cauliflower","Cauliflower",3,0.4,"false","false","diet:vegetables, forge:vegetables, forge:vegetables/cauliflower, nourish:vegetables",""
"croptopia:celery","Celery",3,0.4,"false","false","diet:vegetables, forge:vegetables, forge:vegetables/celery, nourish:vegetables",""
"croptopia:cheese","Cheese",5,0.5,"false","false","forge:cheeses, nourish:fats, nourish:protein",""
"croptopia:cheese_cake","Cheese Cake",14,1.0,"false","false","diet:grains, diet:proteins, diet:sugars, forge:cheese_cakes, nourish:fats, nourish:sweets",""
"croptopia:cheese_pizza","Cheese Pizza",14,1.0,"false","false","forge:cheese_pizzas, nourish:carbohydrates, nourish:fats, nourish:protein",""
"croptopia:cheeseburger","Cheeseburger",10,0.8,"false","false","forge:cheeseburgers, nourish:carbohydrates, nourish:fats, nourish:protein",""
"croptopia:cherry","Cherry",3,0.4,"false","false","dehydration:hydrating_foods, diet:fruits, forge:fruits, forge:fruits/cherries, nourish:fruit",""
"croptopia:cherry_jam","Cherry Jam",3,0.4,"false","false","forge:jam, forge:jams/cherry_jam, forge:jellies, nourish:fruit, nourish:sweets",""
"croptopia:cherry_pie","Cherry Pie",14,1.0,"false","false","diet:fruits, diet:grains, diet:sugars, forge:cherry_pies, nourish:carbohydrates, nourish:fats, nourish:fruit, nourish:sweets",""
"croptopia:chicken_and_dumplings","Chicken and Dumplings",10,0.8,"false","false","forge:chicken_and_dumplings, nourish:carbohydrates, nourish:protein",""
"croptopia:chicken_and_noodles","Chicken and Noodles",10,0.8,"false","false","forge:chicken_and_noodles, nourish:carbohydrates, nourish:protein",""
"croptopia:chicken_and_rice","Chicken and Rice",10,0.8,"false","false","forge:chicken_and_rice, nourish:carbohydrates, nourish:protein",""
"croptopia:chili_relleno","Chili Relleno",14,1.0,"false","false","nourish:vegetables",""
"croptopia:chimichanga","Chimichanga",14,1.0,"false","false","nourish:carbohydrates",""
"croptopia:chocolate","Chocolate",5,0.5,"false","false","forge:chocolates, nourish:fats, nourish:sweets",""
"croptopia:chocolate_milkshake","Chocolate Milkshake",7,0.6,"false","false","dehydration:hydrating_drinks, forge:chocolate_milkshakes, nourish:fats, nourish:sweets",""
"croptopia:churros","Churros",5,0.5,"false","false","diet:sugars, nourish:carbohydrates, nourish:fats, nourish:sweets",""
"croptopia:coconut","Coconut",1,0.4,"false","false","diet:fruits, forge:fruits, forge:fruits/coconuts, nourish:fruit",""
"croptopia:coffee","Coffee",5,0.5,"false","false","dehydration:hydrating_drinks, forge:coffees",""
"croptopia:coffee_beans","Coffee Beans",3,0.4,"false","false","diet:vegetables, forge:crops/coffee_beans",""
"croptopia:corn","Corn",3,0.4,"false","false","croptopia:flourable, diet:vegetables, forge:grains, forge:grains/corn, nourish:carbohydrates, nourish:vegetables",""
"croptopia:cornish_pasty","Cornish Pasty",10,0.8,"false","false","forge:cornish_pasty, nourish:carbohydrates, nourish:vegetables",""
"croptopia:cranberry","Cranberry",3,0.4,"false","false","dehydration:hydrating_foods, diet:fruits, forge:fruits, forge:fruits/cranberries, nourish:fruit",""
"croptopia:cranberry_juice","Cranberry Juice",5,0.5,"false","false","dehydration:hydrating_stew, forge:juices, forge:juices/cranberry_juice, nourish:fruit, nourish:sweets",""
"croptopia:crema","Crema",3,0.4,"false","false","",""
"croptopia:cucumber","Cucumber",3,0.4,"false","false","diet:vegetables, forge:vegetables, forge:vegetables/cucumber, nourish:vegetables",""
"croptopia:cucumber_salad","Cucumber Salad",10,0.8,"false","false","forge:cucumber_salads, nourish:vegetables",""
"croptopia:currant","Currant",3,0.4,"false","false","diet:fruits, forge:fruits, forge:fruits/currants, nourish:fruit",""
"croptopia:date","Date",3,0.4,"false","false","diet:fruits, forge:fruits, forge:fruits/dates, nourish:fruit",""
"croptopia:doughnut","Doughnut",5,0.5,"false","false","diet:grains, diet:sugars, forge:doughnuts, nourish:carbohydrates",""
"croptopia:dragonfruit","Dragon Fruit",3,0.4,"false","false","dehydration:hydrating_foods, diet:fruits, forge:fruits, forge:fruits/dragonfruits, nourish:fruit",""
"croptopia:egg_roll","Egg Roll",10,0.8,"false","false","forge:egg_rolls, nourish:carbohydrates, nourish:fats",""
"croptopia:eggplant","Eggplant",3,0.4,"false","false","diet:fruits, forge:vegetables, forge:vegetables/eggplant, nourish:vegetables",""
"croptopia:elderberry","Elderberry",3,0.4,"false","false","diet:fruits, forge:fruits, forge:fruits/elderberries, nourish:fruit",""
"croptopia:elderberry_jam","Elderberry Jam",3,0.4,"false","false","forge:jam, forge:jams/elderberry_jam, forge:jellies, nourish:fruit, nourish:sweets",""
"croptopia:enchilada","Enchilada",10,0.8,"false","false","nourish:carbohydrates, nourish:protein, nourish:vegetables",""
"croptopia:eton_mess","Eton Mess",10,0.8,"false","false","diet:fruits, diet:sugars, forge:eton_mess, nourish:fats, nourish:fruit, nourish:sweets",""
"croptopia:fajitas","Fajitas",10,0.8,"false","false","nourish:carbohydrates, nourish:protein, nourish:vegetables",""
"croptopia:fig","Fig",3,0.4,"false","false","diet:fruits, forge:fruits, forge:fruits/figs, nourish:fruit",""
"croptopia:figgy_pudding","Figgy Pudding",10,0.8,"false","false","diet:fruits, diet:sugars, forge:figgy_pudding, nourish:fats, nourish:fruit, nourish:sweets",""
"croptopia:fish_and_chips","Fish and Chips",10,0.8,"false","false","forge:fish_and_chips, nourish:carbohydrates, nourish:protein",""
"croptopia:french_fries","French Fries",5,0.5,"false","false","forge:french_fries, nourish:carbohydrates, nourish:vegetables",""
