"ID","Name","Description","Parent"
"betterendforge:recipes/betterendforge/blackstone_lantern","betterendforge:recipes/betterendforge/blackstone_lantern","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/chorus_mushroom_cooked","betterendforge:recipes/betterendforge/chorus_mushroom_cooked","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/chorus_mushroom_cooked_from_campfire_cooking","betterendforge:recipes/betterendforge/chorus_mushroom_cooked_from_campfire_cooking","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/chorus_mushroom_cooked_from_smoking","betterendforge:recipes/betterendforge/chorus_mushroom_cooked_from_smoking","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dense_emerald_ice","betterendforge:recipes/betterendforge/dense_emerald_ice","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/diamond_hammer","betterendforge:recipes/betterendforge/diamond_hammer","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/diorite_lantern","betterendforge:recipes/betterendforge/diorite_lantern","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/diorite_pedestal","betterendforge:recipes/betterendforge/diorite_pedestal","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_bark","betterendforge:recipes/betterendforge/dragon_tree_bark","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_barrel","betterendforge:recipes/betterendforge/dragon_tree_barrel","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_bookshelf","betterendforge:recipes/betterendforge/dragon_tree_bookshelf","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_button","betterendforge:recipes/betterendforge/dragon_tree_button","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_chest","betterendforge:recipes/betterendforge/dragon_tree_chest","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_composter","betterendforge:recipes/betterendforge/dragon_tree_composter","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_crafting_table","betterendforge:recipes/betterendforge/dragon_tree_crafting_table","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_door","betterendforge:recipes/betterendforge/dragon_tree_door","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_fence","betterendforge:recipes/betterendforge/dragon_tree_fence","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_gate","betterendforge:recipes/betterendforge/dragon_tree_gate","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_ladder","betterendforge:recipes/betterendforge/dragon_tree_ladder","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_planks","betterendforge:recipes/betterendforge/dragon_tree_planks","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_pressure_plate","betterendforge:recipes/betterendforge/dragon_tree_pressure_plate","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_sign","betterendforge:recipes/betterendforge/dragon_tree_sign","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_slab","betterendforge:recipes/betterendforge/dragon_tree_slab","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_stairs","betterendforge:recipes/betterendforge/dragon_tree_stairs","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_stripped_bark","betterendforge:recipes/betterendforge/dragon_tree_stripped_bark","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/dragon_tree_trapdoor","betterendforge:recipes/betterendforge/dragon_tree_trapdoor","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_fish_cooked","betterendforge:recipes/betterendforge/end_fish_cooked","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_fish_cooked_from_campfire_cooking","betterendforge:recipes/betterendforge/end_fish_cooked_from_campfire_cooking","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_fish_cooked_from_smoking","betterendforge:recipes/betterendforge/end_fish_cooked_from_smoking","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lily_leaf_dried","betterendforge:recipes/betterendforge/end_lily_leaf_dried","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lily_leaf_dried_from_campfire_cooking","betterendforge:recipes/betterendforge/end_lily_leaf_dried_from_campfire_cooking","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lily_leaf_dried_from_smoking","betterendforge:recipes/betterendforge/end_lily_leaf_dried_from_smoking","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_bark","betterendforge:recipes/betterendforge/end_lotus_bark","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_barrel","betterendforge:recipes/betterendforge/end_lotus_barrel","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_bookshelf","betterendforge:recipes/betterendforge/end_lotus_bookshelf","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_button","betterendforge:recipes/betterendforge/end_lotus_button","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_chest","betterendforge:recipes/betterendforge/end_lotus_chest","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_composter","betterendforge:recipes/betterendforge/end_lotus_composter","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_crafting_table","betterendforge:recipes/betterendforge/end_lotus_crafting_table","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_door","betterendforge:recipes/betterendforge/end_lotus_door","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_fence","betterendforge:recipes/betterendforge/end_lotus_fence","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_gate","betterendforge:recipes/betterendforge/end_lotus_gate","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_ladder","betterendforge:recipes/betterendforge/end_lotus_ladder","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_log","betterendforge:recipes/betterendforge/end_lotus_log","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_planks","betterendforge:recipes/betterendforge/end_lotus_planks","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_pressure_plate","betterendforge:recipes/betterendforge/end_lotus_pressure_plate","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_sign","betterendforge:recipes/betterendforge/end_lotus_sign","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_slab","betterendforge:recipes/betterendforge/end_lotus_slab","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_stairs","betterendforge:recipes/betterendforge/end_lotus_stairs","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_stripped_bark","betterendforge:recipes/betterendforge/end_lotus_stripped_bark","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_lotus_trapdoor","betterendforge:recipes/betterendforge/end_lotus_trapdoor","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_stone_furnace","betterendforge:recipes/betterendforge/end_stone_furnace","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_stone_lantern","betterendforge:recipes/betterendforge/end_stone_lantern","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/end_stone_smelter","betterendforge:recipes/betterendforge/end_stone_smelter","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/ender_block","betterendforge:recipes/betterendforge/ender_block","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/filalux_lantern","betterendforge:recipes/betterendforge/filalux_lantern","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_bricks","betterendforge:recipes/betterendforge/flavolite_bricks","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_bricks_from_flavolite_stonecutting","betterendforge:recipes/betterendforge/flavolite_bricks_from_flavolite_stonecutting","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_bricks_slab","betterendforge:recipes/betterendforge/flavolite_bricks_slab","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_bricks_slab_from_flavolite_bricks_stonecutting","betterendforge:recipes/betterendforge/flavolite_bricks_slab_from_flavolite_bricks_stonecutting","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_bricks_slab_from_flavolite_stonecutting","betterendforge:recipes/betterendforge/flavolite_bricks_slab_from_flavolite_stonecutting","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_bricks_stairs","betterendforge:recipes/betterendforge/flavolite_bricks_stairs","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_bricks_stairs_from_flavolite_bricks_stonecutting","betterendforge:recipes/betterendforge/flavolite_bricks_stairs_from_flavolite_bricks_stonecutting","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_bricks_stairs_from_flavolite_stonecutting","betterendforge:recipes/betterendforge/flavolite_bricks_stairs_from_flavolite_stonecutting","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_bricks_wall","betterendforge:recipes/betterendforge/flavolite_bricks_wall","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_bricks_wall_from_flavolite_bricks_stonecutting","betterendforge:recipes/betterendforge/flavolite_bricks_wall_from_flavolite_bricks_stonecutting","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_bricks_wall_from_flavolite_stonecutting","betterendforge:recipes/betterendforge/flavolite_bricks_wall_from_flavolite_stonecutting","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_button","betterendforge:recipes/betterendforge/flavolite_button","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_button_from_flavolite_stonecutting","betterendforge:recipes/betterendforge/flavolite_button_from_flavolite_stonecutting","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_furnace","betterendforge:recipes/betterendforge/flavolite_furnace","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_lantern","betterendforge:recipes/betterendforge/flavolite_lantern","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_pedestal","betterendforge:recipes/betterendforge/flavolite_pedestal","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_pillar","betterendforge:recipes/betterendforge/flavolite_pillar","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_pillar_from_flavolite_stonecutting","betterendforge:recipes/betterendforge/flavolite_pillar_from_flavolite_stonecutting","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_polished","betterendforge:recipes/betterendforge/flavolite_polished","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_polished_from_flavolite_stonecutting","betterendforge:recipes/betterendforge/flavolite_polished_from_flavolite_stonecutting","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/flavolite_pressure_plate","betterendforge:recipes/betterendforge/flavolite_pressure_plate","<null>","minecraft:recipes/root"
