"ID","Registry name","Temp.","RainType","Downfall","BiomeTypes","BiomeDictionary Types"
29,"minecraft:dark_forest",0.70,rain,"0.80","WARM","DENSE, FOREST, OVERWORLD, SPOOKY"
30,"minecraft:snowy_taiga",-0.50,snow,"0.40","ICY","COLD, CONIFEROUS, FOREST, OVERWORLD, SNOWY"
31,"minecraft:snowy_taiga_hills",-0.50,snow,"0.40","","COLD, CONIFEROUS, FOREST, HILLS, OVERWORLD, SNOWY"
32,"minecraft:giant_tree_taiga",0.30,rain,"0.80","","COLD, CONIFEROUS, FOREST, OVERWORLD"
33,"minecraft:giant_tree_taiga_hills",0.30,rain,"0.80","","COLD, CONIFEROUS, FOREST, HILLS, OVERWORLD"
34,"minecraft:wooded_mountains",0.20,rain,"0.30","","FOREST, MOUNTAIN, OVERWORLD, SPARSE"
35,"minecraft:savanna",1.20,-,"0.00","DESERT","HOT, OVERWORLD, PLAINS, SAVANNA, SPARSE"
36,"minecraft:savanna_plateau",1.00,-,"0.00","","HOT, OVERWORLD, PLAINS, PLATEAU, RARE, SAVANNA, SPARSE"
37,"minecraft:badlands",2.00,-,"0.00","","DRY, MESA, OVERWORLD, SANDY"
38,"minecraft:wooded_badlands_plateau",2.00,-,"0.00","","DRY, MESA, OVERWORLD, PLATEAU, SANDY, SPARSE"
39,"minecraft:badlands_plateau",2.00,-,"0.00","","DRY, MESA, OVERWORLD, PLATEAU, SANDY"
40,"minecraft:small_end_islands",0.50,-,"0.50","","END"
41,"minecraft:end_midlands",0.50,-,"0.50","","END"
42,"minecraft:end_highlands",0.50,-,"0.50","","END"
43,"minecraft:end_barrens",0.50,-,"0.50","","END"
44,"minecraft:warm_ocean",0.50,rain,"0.50","","HOT, OCEAN, OVERWORLD, WATER"
45,"minecraft:lukewarm_ocean",0.50,rain,"0.50","","OCEAN, OVERWORLD, WATER"
46,"minecraft:cold_ocean",0.50,rain,"0.50","","COLD, OCEAN, OVERWORLD, WATER"
47,"minecraft:deep_warm_ocean",0.50,rain,"0.50","","HOT, OCEAN, OVERWORLD, WATER"
48,"minecraft:deep_lukewarm_ocean",0.50,rain,"0.50","","OCEAN, OVERWORLD, WATER"
49,"minecraft:deep_cold_ocean",0.50,rain,"0.50","","COLD, OCEAN, OVERWORLD, WATER"
50,"minecraft:deep_frozen_ocean",0.50,rain,"0.50","","COLD, OCEAN, OVERWORLD, SNOWY, WATER"
51,"infernalexp:glowstone_canyon",2.00,rain,"0.00","","DRY, HOT, NETHER, SANDY"
52,"betterendforge:megalake",2.00,-,"0.00","",""
53,"betterendforge:crystal_mountains",2.00,-,"0.00","",""
54,"betterendforge:foggy_mushroomland",2.00,-,"0.00","",""
55,"betterendforge:dust_wastelands",2.00,-,"0.00","",""
56,"betterendforge:chorus_forest",2.00,-,"0.00","",""
57,"betterendforge:shadow_forest",2.00,-,"0.00","",""
58,"betterendforge:blossoming_spires",2.00,-,"0.00","",""
59,"betterendforge:sulphur_springs",2.00,-,"0.00","",""
60,"betterendforge:amber_land",2.00,-,"0.00","",""
61,"betterendforge:umbrella_jungle",2.00,-,"0.00","",""
62,"betterendforge:glowing_grasslands",2.00,-,"0.00","",""
63,"betterendforge:dragon_graveyards",2.00,-,"0.00","",""
64,"betterendforge:lantern_woods",2.00,-,"0.00","",""
65,"betterendforge:dry_shrubland",2.00,-,"0.00","",""
66,"betterendforge:ice_starfield",2.00,-,"0.00","",""
67,"betterendforge:empty_end_cave",2.00,-,"0.00","",""
68,"betterendforge:empty_smaragdant_cave",2.00,-,"0.00","",""
69,"betterendforge:lush_smaragdant_cave",2.00,-,"0.00","",""
70,"betterendforge:empty_aurora_cave",2.00,-,"0.00","",""
71,"betterendforge:lush_aurora_cave",2.00,-,"0.00","",""
72,"betterendforge:megalake_grove",2.00,-,"0.00","",""
73,"betterendforge:painted_mountains",2.00,-,"0.00","",""
74,"betterendforge:neon_oasis",2.00,-,"0.00","",""
75,"ob_aquamirae:ice_maze",0.20,rain,"0.10","ICY","COLD, WATER"
76,"biomesoplenty:gravel_beach",0.60,rain,"0.50","","BEACH, OVERWORLD, SPARSE"
77,"biomesoplenty:tropic_beach",0.95,rain,"1.00","","BEACH, HOT, JUNGLE, LUSH, OVERWORLD, RARE, SANDY, WET"
78,"biomesoplenty:alps_foothills",-0.25,snow,"0.30","","COLD, CONIFEROUS, FOREST, MOUNTAIN, OVERWORLD, SNOWY, SPARSE"
79,"biomesoplenty:redwood_forest_edge",0.80,rain,"0.60","","FOREST, OVERWORLD"
80,"biomesoplenty:volcanic_plains",0.95,rain,"0.30","","BEACH, HOT, OVERWORLD, RARE, SPARSE, WASTELAND"
81,"biomesoplenty:orchard",0.80,rain,"0.40","","FOREST, LUSH, OVERWORLD, PLAINS, SPARSE"
82,"biomesoplenty:bayou_mangrove",0.95,rain,"0.90","","HOT, OVERWORLD, SWAMP, WET"
83,"biomesoplenty:alps",-0.25,snow,"0.30","","COLD, CONIFEROUS, MOUNTAIN, OVERWORLD, SNOWY, SPARSE"
84,"biomesoplenty:bamboo_blossom_grove",0.60,rain,"0.90","","FOREST, LUSH, OVERWORLD, RARE, WET"
85,"biomesoplenty:bayou",0.95,rain,"0.90","","HOT, OVERWORLD, SWAMP, WET"
86,"biomesoplenty:burnt_forest",0.30,rain,"0.30","","COLD, DEAD, DRY, FOREST, OVERWORLD, RARE, SPARSE"
87,"biomesoplenty:cherry_blossom_grove",0.60,rain,"0.90","","FOREST, LUSH, OVERWORLD, RARE, WET"
88,"biomesoplenty:cold_desert",0.25,-,"0.00","","COLD, DRY, OVERWORLD, SNOWY, SPARSE"
89,"biomesoplenty:coniferous_forest",0.45,rain,"0.50","","CONIFEROUS, DENSE, FOREST, OVERWORLD"
90,"biomesoplenty:coniferous_lakes",0.45,rain,"0.50","","CONIFEROUS, FOREST, OVERWORLD, SPARSE"
91,"biomesoplenty:dead_forest",0.30,rain,"0.30","","COLD, DEAD, FOREST, OVERWORLD, RARE, SPARSE"
92,"biomesoplenty:deep_bayou",0.95,rain,"0.90","","DENSE, HOT, OVERWORLD, SWAMP, WET"
93,"biomesoplenty:dense_marsh",0.65,rain,"0.70","","DENSE, OVERWORLD, SWAMP, WET"
94,"biomesoplenty:dense_woodland",0.80,rain,"0.50","","DENSE, FOREST, OVERWORLD"
95,"biomesoplenty:dryland",0.85,-,"0.05","","DRY, HOT, OVERWORLD, SANDY, SAVANNA, SPARSE"
96,"biomesoplenty:dry_boneyard",0.85,-,"0.05","","DEAD, DRY, HOT, OVERWORLD, SANDY, SAVANNA, SPARSE, WASTELAND"
97,"biomesoplenty:fir_clearing",0.45,rain,"0.50","","CONIFEROUS, FOREST, OVERWORLD, SPARSE"
98,"biomesoplenty:flower_meadow",0.40,rain,"0.70","","CONIFEROUS, LUSH, OVERWORLD, PLAINS, SPARSE"
99,"biomesoplenty:fungal_field",0.90,rain,"0.90","","HOT, JUNGLE, LUSH, MUSHROOM, OVERWORLD, PLAINS, RARE, WET"
100,"biomesoplenty:fungal_jungle",0.90,rain,"0.90","","HOT, JUNGLE, LUSH, MUSHROOM, OVERWORLD, RARE, WET"
101,"biomesoplenty:golden_prairie",0.80,rain,"0.30","","DRY, OVERWORLD, PLAINS"
102,"biomesoplenty:grassland",0.60,rain,"0.70","","OVERWORLD, PLAINS, SPARSE, WET"
103,"biomesoplenty:grassland_clover_patch",0.60,rain,"0.70","","DENSE, OVERWORLD, PLAINS, WET"
104,"biomesoplenty:grove",0.80,rain,"0.28","","FOREST, HILLS, OVERWORLD"
105,"biomesoplenty:grove_clearing",0.80,rain,"0.28","","OVERWORLD, PLAINS, SPARSE"
106,"biomesoplenty:grove_lakes",0.80,rain,"0.28","","OVERWORLD, SPARSE"
107,"biomesoplenty:highland",0.60,rain,"0.60","","MOUNTAIN, OVERWORLD, PLAINS, SPARSE"
108,"biomesoplenty:highland_crag",0.60,rain,"0.60","","MOUNTAIN, OVERWORLD, SPARSE, WASTELAND"
109,"biomesoplenty:highland_moor",0.60,rain,"0.60","","MOUNTAIN, OVERWORLD, SPARSE, SWAMP, WET"
110,"biomesoplenty:jade_cliffs",0.80,rain,"0.85","","CONIFEROUS, FOREST, MAGICAL, MOUNTAIN, OVERWORLD, RARE"
111,"biomesoplenty:lavender_field",0.80,rain,"0.70","","LUSH, OVERWORLD, PLAINS"
112,"biomesoplenty:lavender_forest",0.80,rain,"0.70","","DENSE, FOREST, LUSH, OVERWORLD"
113,"biomesoplenty:lush_desert",0.90,rain,"0.50","","HOT, LUSH, OVERWORLD, RARE, SANDY, SAVANNA, SPARSE"
114,"biomesoplenty:lush_savanna",0.90,rain,"0.50","","HOT, LUSH, OVERWORLD, PLAINS, RARE, SAVANNA, SPARSE"
115,"biomesoplenty:marsh",0.65,rain,"0.70","","OVERWORLD, SPARSE, SWAMP, WET"
116,"biomesoplenty:meadow",0.40,rain,"0.70","","CONIFEROUS, FOREST, OVERWORLD, WET"
117,"biomesoplenty:meadow_forest",0.40,rain,"0.70","","CONIFEROUS, FOREST, OVERWORLD, WET"
118,"biomesoplenty:muskeg",-0.25,snow,"0.60","","COLD, DEAD, OVERWORLD, RARE, SNOWY, SPARSE, SWAMP, WET"
119,"biomesoplenty:mystic_grove",0.70,rain,"0.80","","FOREST, LUSH, MAGICAL, OVERWORLD, RARE, WET"
120,"biomesoplenty:mystic_plains",0.70,rain,"0.80","","LUSH, MAGICAL, OVERWORLD, PLAINS, RARE, SPARSE, WET"
121,"biomesoplenty:ominous_woods",0.60,rain,"0.60","","COLD, CONIFEROUS, FOREST, OVERWORLD, RARE, SPOOKY, WET"
122,"biomesoplenty:ominous_mire",0.60,rain,"0.60","","COLD, CONIFEROUS, FOREST, OVERWORLD, RARE, SPOOKY, SWAMP, WET"
123,"biomesoplenty:origin_valley",0.60,rain,"0.60","","OVERWORLD, RARE"
124,"biomesoplenty:prairie",0.80,rain,"0.30","","DRY, OVERWORLD, PLAINS, SPARSE"
125,"biomesoplenty:rainbow_hills",0.55,rain,"1.00","","DENSE, FOREST, HILLS, LUSH, MAGICAL, OVERWORLD, WET"
126,"biomesoplenty:rainforest",1.20,rain,"2.00","","DENSE, FOREST, HOT, JUNGLE, LUSH, OVERWORLD, WET"
127,"minecraft:the_void",0.50,-,"0.50","","VOID"
128,"biomesoplenty:rainforest_cliffs",1.20,rain,"2.00","","DENSE, HOT, JUNGLE, LUSH, OVERWORLD, PLATEAU, WET"
129,"minecraft:sunflower_plains",0.80,rain,"0.40","","OVERWORLD, PLAINS, RARE"
130,"minecraft:desert_lakes",2.00,-,"0.00","","DRY, HOT, OVERWORLD, RARE, SANDY"
131,"minecraft:gravelly_mountains",0.20,rain,"0.30","","MOUNTAIN, OVERWORLD, RARE, SPARSE"
132,"minecraft:flower_forest",0.70,rain,"0.80","","FOREST, HILLS, OVERWORLD, RARE"
133,"minecraft:taiga_mountains",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, MOUNTAIN, OVERWORLD, RARE"
134,"minecraft:swamp_hills",0.80,rain,"0.90","","HILLS, OVERWORLD, RARE, SWAMP, WET"
135,"biomesoplenty:rainforest_floodplain",1.20,rain,"2.00","","HOT, JUNGLE, LUSH, OVERWORLD, SWAMP, WET"
136,"biomesoplenty:redwood_forest",0.80,rain,"0.60","","DENSE, FOREST, OVERWORLD"
137,"biomesoplenty:redwood_hills",0.80,rain,"0.60","","DENSE, FOREST, HILLS, OVERWORLD"
138,"biomesoplenty:scrubland",1.10,-,"0.15","","DRY, HOT, OVERWORLD, SAVANNA, SPARSE"
139,"biomesoplenty:seasonal_forest",0.40,rain,"0.80","","FOREST, OVERWORLD"
140,"minecraft:ice_spikes",0.00,snow,"0.50","ICY","COLD, HILLS, OVERWORLD, RARE, SNOWY"
141,"biomesoplenty:seasonal_orchard",0.40,rain,"0.80","","FOREST, OVERWORLD"
142,"biomesoplenty:seasonal_pumpkin_patch",0.40,rain,"0.80","","FOREST, OVERWORLD, SPARSE"
143,"biomesoplenty:shroomy_wetland",0.60,rain,"0.70","","FOREST, MUSHROOM, OVERWORLD, SWAMP, WET"
144,"biomesoplenty:shrubland",0.60,rain,"0.05","","OVERWORLD, PLAINS, SPARSE"
145,"biomesoplenty:shrubland_hills",0.60,rain,"0.05","","HILLS, OVERWORLD, PLAINS"
146,"biomesoplenty:snowy_coniferous_forest",-0.25,snow,"0.50","","COLD, CONIFEROUS, FOREST, OVERWORLD, SNOWY"
147,"biomesoplenty:snowy_maple_forest",-0.25,snow,"0.50","","COLD, CONIFEROUS, DENSE, FOREST, OVERWORLD, SNOWY"
148,"biomesoplenty:snowy_fir_clearing",-0.25,snow,"0.50","","COLD, CONIFEROUS, FOREST, OVERWORLD, SNOWY, SPARSE"
149,"minecraft:modified_jungle",0.95,rain,"0.90","","DENSE, HOT, JUNGLE, MODIFIED, MOUNTAIN, OVERWORLD, RARE, WET"
150,"biomesoplenty:tall_dead_forest",0.30,rain,"0.30","","COLD, DEAD, FOREST, OVERWORLD, RARE"
151,"minecraft:modified_jungle_edge",0.95,rain,"0.80","","HILLS, HOT, JUNGLE, MODIFIED, OVERWORLD, RARE, SPARSE"
152,"biomesoplenty:tropics",0.95,rain,"1.00","","HOT, JUNGLE, LUSH, OVERWORLD, RARE, WET"
153,"biomesoplenty:tundra",0.20,rain,"0.50","","COLD, DEAD, OVERWORLD, PLAINS, SPARSE"
154,"biomesoplenty:tundra_basin",0.20,rain,"0.50","","COLD, DEAD, DRY, OVERWORLD, SPARSE, WASTELAND"
155,"minecraft:tall_birch_forest",0.60,rain,"0.60","","DENSE, FOREST, HILLS, OVERWORLD, RARE"
156,"minecraft:tall_birch_hills",0.60,rain,"0.60","","DENSE, FOREST, MOUNTAIN, OVERWORLD, RARE"
157,"minecraft:dark_forest_hills",0.70,rain,"0.80","","DENSE, FOREST, MOUNTAIN, OVERWORLD, RARE, SPOOKY"
158,"minecraft:snowy_taiga_mountains",-0.50,snow,"0.40","","COLD, CONIFEROUS, FOREST, MOUNTAIN, OVERWORLD, RARE, SNOWY"
159,"biomesoplenty:tundra_bog",0.20,rain,"0.50","","COLD, OVERWORLD, SPARSE, SWAMP, WET"
160,"minecraft:giant_spruce_taiga",0.25,rain,"0.80","","DENSE, FOREST, OVERWORLD, RARE"
161,"minecraft:giant_spruce_taiga_hills",0.25,rain,"0.80","","DENSE, FOREST, HILLS, OVERWORLD, RARE"
162,"minecraft:modified_gravelly_mountains",0.20,rain,"0.30","","MODIFIED, MOUNTAIN, OVERWORLD, RARE, SPARSE"
163,"minecraft:shattered_savanna",1.10,-,"0.00","","DRY, HOT, MOUNTAIN, OVERWORLD, RARE, SAVANNA, SPARSE"
164,"minecraft:shattered_savanna_plateau",1.00,-,"0.00","","DRY, HILLS, HOT, OVERWORLD, PLATEAU, RARE, SAVANNA, SPARSE"
165,"minecraft:eroded_badlands",2.00,-,"0.00","","DRY, HOT, MOUNTAIN, OVERWORLD, RARE, SPARSE"
166,"minecraft:modified_wooded_badlands_plateau",2.00,-,"0.00","","DRY, HILLS, HOT, MODIFIED, OVERWORLD, PLATEAU, RARE, SPARSE"
167,"minecraft:modified_badlands_plateau",2.00,-,"0.00","","DRY, HOT, MODIFIED, MOUNTAIN, OVERWORLD, PLATEAU, RARE, SPARSE"
168,"minecraft:bamboo_jungle",0.95,rain,"0.90","","HOT, JUNGLE, OVERWORLD, RARE, WET"
169,"minecraft:bamboo_jungle_hills",0.95,rain,"0.90","","HILLS, HOT, JUNGLE, OVERWORLD, RARE, WET"
170,"minecraft:soul_sand_valley",2.00,-,"0.00","","DRY, HOT, NETHER"
171,"minecraft:crimson_forest",2.00,-,"0.00","","DRY, FOREST, HOT, NETHER"
172,"minecraft:warped_forest",2.00,-,"0.00","","DRY, FOREST, HOT, NETHER"
173,"minecraft:basalt_deltas",2.00,-,"0.00","","DRY, HOT, NETHER"
174,"biomesoplenty:volcano",0.95,rain,"0.30","","DEAD, DRY, HOT, MOUNTAIN, OVERWORLD, RARE, SPARSE, WASTELAND"
175,"biomesoplenty:wasteland",2.00,-,"0.00","","DEAD, DRY, HOT, OVERWORLD, RARE, SAVANNA, SPARSE, WASTELAND"
176,"biomesoplenty:wetland",0.60,rain,"0.70","","FOREST, OVERWORLD, SWAMP, WET"
177,"biomesoplenty:wetland_forest",0.60,rain,"0.70","","DENSE, FOREST, OVERWORLD, SWAMP, WET"
178,"biomesoplenty:wooded_scrubland",1.10,-,"0.15","","HOT, OVERWORLD, SAVANNA, SPARSE"
179,"biomesoplenty:woodland",0.80,rain,"0.50","","FOREST, OVERWORLD"
180,"biomesoplenty:crystalline_chasm",2.00,-,"0.00","","DRY, HOT, MAGICAL, NETHER"
181,"biomesoplenty:undergrowth",2.00,-,"0.00","","DRY, FOREST, HOT, NETHER"
182,"biomesoplenty:visceral_heap",2.00,-,"0.00","","DRY, HOT, NETHER"
183,"biomesoplenty:withered_abyss",2.00,-,"0.00","","DRY, HOT, NETHER, VOID"
184,"jellyfishing:jellyfish_fields",0.80,rain,"0.40","","OCEAN, OVERWORLD, WATER"
185,"integrateddynamics:meneglin",0.70,rain,"0.25","COOL","COLD, CONIFEROUS, DENSE, FOREST, MAGICAL, OVERWORLD, WET"
186,"vampirism:vampire_forest",0.30,-,"0.00","WARM","DENSE, FOREST, MAGICAL, OVERWORLD, SPOOKY"
187,"vampirism:vampire_forest_hills",0.30,-,"0.00","",""
188,"byg:allium_fields",0.80,rain,"0.40","WARM","LUSH, OVERWORLD, PLAINS, RARE"
189,"byg:alps",-0.50,snow,"0.90","ICY","COLD, MOUNTAIN, OVERWORLD, SNOWY"
190,"byg:amaranth_fields",0.80,rain,"0.40","WARM","LUSH, OVERWORLD, PLAINS, RARE"
191,"byg:ancient_forest",0.80,rain,"0.80","WARM","FOREST, MAGICAL, OVERWORLD, RARE"
192,"byg:aspen_forest",0.70,rain,"0.60","WARM","FOREST, OVERWORLD"
193,"byg:autumnal_valley",0.35,rain,"0.80","COOL","DRY, OVERWORLD, PLAINS"
194,"byg:baobab_savanna",1.20,-,"0.00","DESERT","DRY, OVERWORLD, SAVANNA, SPARSE"
195,"byg:bayou",0.80,rain,"0.80","WARM","FOREST, OVERWORLD, SWAMP, WET"
196,"byg:blue_taiga",0.25,rain,"0.80","COOL","COLD, CONIFEROUS, FOREST, OVERWORLD"
197,"byg:bluff_steeps",0.25,snow,"0.50","COOL","COLD, CONIFEROUS, MOUNTAIN, OVERWORLD"
198,"byg:boreal_forest",0.25,rain,"0.80","COOL","FOREST, OVERWORLD"
199,"byg:cold_swamplands",0.25,rain,"0.80","COOL","OVERWORLD, SWAMP"
200,"byg:crag_gardens",1.00,rain,"0.80","WARM","JUNGLE, MAGICAL, OVERWORLD, PLATEAU, RARE, WET"
201,"byg:cika_woods",0.35,rain,"0.50","COOL","COLD, CONIFEROUS, FOREST, OVERWORLD"
202,"byg:cherry_blossom_forest",0.70,rain,"0.80","WARM","FOREST, OVERWORLD"
203,"byg:redwood_tropics",0.90,rain,"0.90","WARM","DENSE, FOREST, OVERWORLD, RARE"
204,"byg:coniferous_forest",0.25,rain,"0.80","COOL","COLD, CONIFEROUS, FOREST, OVERWORLD"
205,"byg:cypress_swamplands",0.25,rain,"0.80","WARM","OVERWORLD, SWAMP"
206,"byg:dover_mountains",0.25,rain,"0.80","COOL","COLD, CONIFEROUS, MOUNTAIN, OVERWORLD"
207,"byg:dead_sea",2.00,-,"0.00","DESERT","OCEAN, OVERWORLD, SPOOKY, WASTELAND, WATER"
208,"byg:deciduous_forest",0.70,rain,"0.50","WARM","FOREST, OVERWORLD"
209,"byg:dunes",2.00,-,"0.00","DESERT","DRY, HOT, OVERWORLD, SANDY"
210,"byg:ebony_woods",0.80,rain,"0.80","WARM","DENSE, FOREST, OVERWORLD"
211,"byg:enchanted_forest",0.80,rain,"0.80","WARM","FOREST, MAGICAL, OVERWORLD, RARE"
212,"byg:evergreen_taiga",0.25,rain,"0.80","ICY","COLD, CONIFEROUS, FOREST, OVERWORLD"
213,"byg:glowshroom_bayou",0.80,rain,"0.80","WARM","FOREST, MAGICAL, OVERWORLD, RARE, SWAMP, WET"
214,"byg:grassland_plateau",0.70,rain,"0.40","WARM","OVERWORLD, PLAINS"
215,"byg:great_lakes",0.25,rain,"0.80","COOL","CONIFEROUS, FOREST, OVERWORLD, WATER"
216,"byg:grove",0.75,rain,"0.80","","LUSH, OVERWORLD, PLAINS"
217,"byg:enchanted_grove",0.75,rain,"0.80","","LUSH, MAGICAL, OVERWORLD, PLAINS, RARE"
218,"byg:guiana_shield",0.95,rain,"0.90","WARM","DENSE, FOREST, HOT, JUNGLE, MOUNTAIN, OVERWORLD"
219,"byg:jacaranda_forest",0.95,rain,"0.50","WARM","FOREST, OVERWORLD"
220,"byg:mangrove_marshes",0.80,rain,"0.80","WARM","DENSE, FOREST, OVERWORLD, SWAMP, WET"
221,"byg:maple_taiga",0.25,rain,"0.80","COOL","COLD, FOREST, OVERWORLD"
222,"byg:meadow",0.80,rain,"0.80","WARM","LUSH, OVERWORLD, PLAINS"
223,"byg:mojave_desert",2.00,-,"0.00","DESERT","DRY, HOT, OVERWORLD, SANDY"
224,"byg:lush_tundra",0.35,snow,"0.40","ICY","COLD, LUSH, OVERWORLD, PLAINS"
225,"byg:orchard",0.80,rain,"0.80","WARM","FOREST, LUSH, OVERWORLD, PLAINS"
226,"byg:prairie",0.80,rain,"0.20","WARM","DRY, OVERWORLD, PLAINS"
227,"byg:red_desert",2.00,-,"0.00","DESERT","DRY, HOT, OVERWORLD, SANDY"
228,"byg:red_desert_dunes",2.00,-,"0.00","","HILLS, HOT, OVERWORLD, SANDY, WASTELAND"
229,"byg:red_oak_forest",0.80,rain,"0.90","WARM","FOREST, OVERWORLD"
230,"byg:red_rock_mountains",1.20,rain,"0.10","DESERT","DRY, HOT, MOUNTAIN, OVERWORLD"
231,"byg:seasonal_birch_forest",0.25,rain,"0.90","COOL","COLD, FOREST, OVERWORLD"
232,"byg:seasonal_deciduous_forest",0.80,rain,"0.50","COOL","FOREST, OVERWORLD"
233,"byg:seasonal_forest",0.25,rain,"0.90","COOL","COLD, FOREST, OVERWORLD"
234,"byg:seasonal_taiga",0.25,rain,"0.80","COOL","COLD, CONIFEROUS, FOREST, OVERWORLD"
235,"byg:shattered_glacier",-0.50,snow,"0.90","ICY","OVERWORLD, RARE, SNOWY"
236,"byg:shrublands",2.00,rain,"0.40","DESERT","DRY, OVERWORLD, PLAINS, SPARSE"
237,"byg:skyris_highlands",0.25,rain,"0.80","COOL","COLD, CONIFEROUS, MOUNTAIN, OVERWORLD"
238,"byg:snowy_blue_taiga",-0.50,snow,"0.80","ICY","COLD, CONIFEROUS, FOREST, OVERWORLD"
239,"byg:snowy_coniferous_forest",-0.50,snow,"0.80","ICY","CONIFEROUS, FOREST, OVERWORLD, SNOWY"
240,"byg:snowy_deciduous_forest",-0.50,snow,"0.80","ICY","FOREST, OVERWORLD, SNOWY"
241,"byg:snowy_evergreen_taiga",-0.50,rain,"0.80","ICY","CONIFEROUS, FOREST, OVERWORLD, SNOWY"
242,"byg:the_black_forest",0.25,rain,"0.80","COOL","COLD, CONIFEROUS, FOREST, OVERWORLD"
243,"byg:tropical_fungal_forest",0.95,rain,"0.90","WARM","DENSE, HOT, JUNGLE, MAGICAL, OVERWORLD"
244,"byg:tropical_rainforest",0.95,rain,"0.90","WARM","DENSE, HOT, JUNGLE, OVERWORLD"
245,"byg:vibrant_swamplands",0.80,rain,"0.80","COOL","LUSH, OVERWORLD, SWAMP, WATER, WET"
246,"byg:sierra_valley",1.20,rain,"0.10","DESERT","DRY, HOT, OVERWORLD, PLAINS"
247,"byg:weeping_witch_forest",0.25,rain,"0.80","COOL","COLD, FOREST, MAGICAL, OVERWORLD, RARE"
248,"byg:woodlands",0.80,rain,"0.80","WARM","DENSE, FOREST, MAGICAL, OVERWORLD"
249,"byg:zelkova_forest",0.25,rain,"0.80","COOL","COLD, CONIFEROUS, FOREST, OVERWORLD"
250,"byg:redwood_clearing",0.90,rain,"0.90","","FOREST, OVERWORLD, SPARSE"
251,"byg:redwood_mountains",0.90,rain,"0.90","","DRY, HOT, MOUNTAIN, OVERWORLD"
252,"byg:coral_mangroves",0.80,rain,"0.80","","OVERWORLD, SWAMP, WATER, WET"
253,"byg:cika_mountains",0.35,rain,"0.50","","COLD, CONIFEROUS, FOREST, MOUNTAIN, OVERWORLD"
254,"byg:glowing_ancient_forest",0.80,rain,"0.80","","DENSE, FOREST, MAGICAL, OVERWORLD, RARE"
255,"byg:flowering_ancient_forest",0.80,rain,"0.80","","DENSE, FOREST, MAGICAL, OVERWORLD, RARE"
